Time,w
0,0
3.141683778,0.012037225
3.234086242,0.016992295
3.316221766,0.022441905
3.40862423,0.028882123
3.490759754,0.035321833
3.572895277,0.041266493
3.655030801,0.047706203
3.737166324,0.052165715
3.819301848,0.056625226
3.911704312,0.060590197
3.993839836,0.065049708
4.055441478,0.070003253
4.147843943,0.074463273
4.229979466,0.077932685
4.31211499,0.081897148
4.394250513,0.08586161
4.486652977,0.089331531
4.568788501,0.092800943
4.650924025,0.095775306
4.722792608,0.097759062
4.815195072,0.100733934
5.143737166,0.112136337
5.400410678,0.119079737
5.893223819,0.133955618
6.570841889,0.153296094
7.145790554,0.171146339
7.566735113,0.183543416
7.813141684,0.189001159
7.813141684,0.190486307
8.19301848,0.200901153
8.511293634,0.208342652
8.63449692,0.209833899
9.147843943,0.223720699
9.404517454,0.226703702
9.147843943,0.223720699
9.404517454,0.226703702
