index_name,meas_wmax,wmax_001a,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t,wmax_001b,wmax_002,wmax_006,wmax_007,wmax_012,wmax_038,wmax_047,wmax_053,wmax_058,wmax_095
0,0.125,0.17745475658535134,23,BSTS2-16,3,1,0.0,50.0,199.72425592606606,16.0,0.014569705060126576,2,2,1,1,0.17745475658535134,0.10915216255905169,0.1636945029740395,0.10915216255905169,0.13582619318676203,0.2854372197487513,0.15044679604779493,0.19250949642047518,0.16542953164398824,0.10241376007254119
1,0.15,0.25307826902599173,23,BSTS2-16,4,1,0.0,50.0,265.00479314999916,16.0,0.014569705060126576,2,2,1,1,0.25307826902599173,0.18702009434320258,0.26545153245456116,0.18702009434320258,0.19588661425693957,0.37873332423293615,0.21260736751783754,0.25543186550763075,0.21950072419068067,0.19313198026334488
2,0.125,0.12845317792166694,23,BSTS3-16,3,1,0.0,50.0,166.98110099213878,16.0,0.021854557590189866,2,2,1,1,0.12845317792166694,0.08682259239717227,0.11979502710821267,0.08682259239717227,0.08857151461652063,0.21030578383976653,0.10387915064330748,0.14060202642404954,0.11913870382949471,0.08383894533010026
3,0.175,0.2487914430224427,23,BSTS3-16,4,1,0.0,50.0,263.40922705428744,16.0,0.021854557590189866,2,2,1,1,0.2487914430224427,0.19449051716086338,0.2338741385702264,0.19449051716086338,0.15315087000750283,0.3317530165817204,0.18387399750325953,0.2217967834837128,0.1879388367995867,0.20705821189791512
4,0.125,0.06053806304986438,23,SSTS4-12,1,1,0.0,20.0,150.00155806688244,12.0,0.010959044140429511,2,2,1,1,0.06053806304986438,0.0403587086999096,0.08423567296104198,0.09816077859208072,0.0767696958905384,0.19552166575830357,0.09126638302756589,0.10669826340551727,0.1674807958175884,0.05949955487209196
5,0.175,0.12758090024416632,23,SSTS4-12,2,1,0.0,20.0,266.3423794274293,12.0,0.010959044140429511,2,2,1,1,0.12758090024416632,0.11848861841560346,0.22941253939401401,0.24504630381696973,0.16192092051922466,0.3471677651805568,0.18790962263102126,0.1894531611700259,0.297378468872747,0.19126565387778557
6,0.25,0.27711599176763263,23,STN12,4,2,0.0,44.0,180.97133766818618,12.0,0.011309733552923255,1,1a,1,1,0.25862256495392627,0.1222170031916333,0.11805000007805885,0.14378470963721565,0.14155688583741824,,,,,0.29527672048718767
7,0.3,0.4924461447189294,23,STN12,5,2,0.0,44.0,312.2486234165578,12.0,0.011309733552923255,2,1a,1,1,0.45958258935728935,0.32581326153013535,0.3693083727363153,0.32581326153013535,0.2232701045842796,,,,,0.28971610003550957
8,0.3,0.5497241290160543,23,STN12,6,2,0.0,44.0,334.6919476817555,12.0,0.011309733552923255,2,1a,1,1,0.513038108541958,0.3637053922494731,0.41226380938911095,0.3637053922494731,0.24153350064531684,-10,,,,0.3284582364435373
9,0.25,0.21803005009003207,23,STN16,4,2,0.0,42.0,179.31077947343238,16.0,0.020106192982974676,2,1a,1,1,0.21803005009003207,0.14509743218332627,0.16025634759986052,0.14509743218332627,0.10376561350438063,,,,,0.13584952017515692
10,0.325,0.43253992644102085,23,STN16,5,2,0.0,42.0,285.5914232336178,16.0,0.020106192982974676,2,1a,1,1,0.43253992644102085,0.2889941962481648,0.3192046466330863,0.2889941962481648,0.17356310206667577,,,,,0.2790567389025968
11,0.35,0.3791397652520742,23,STS12,5,2,0.0,44.0,247.59823510439526,12.0,0.011309733552923255,2,1a,1,1,0.3319468534327289,0.20427052418931257,0.23152234961275203,0.20427052418931257,0.16246184145852396,,,,,0.1600921621531228
12,0.325,0.32273655835581333,23,STS16,7,2,0.0,42.0,236.22557355429873,16.0,0.020106192982974676,2,1a,1,1,0.32273655835581333,0.21563601674450214,0.23817225363030858,0.21563601674450214,0.13495869523322193,,,,,0.2014240585234775
13,0.449,0.2504298266453015,24,12-20-00,5,1,0.0,32.0,279.17649411663376,12.0,0.013189193647723913,2,2,1,1,0.2504298266453015,0.2219043220224043,0.29907439982314776,0.22190432202240426,0.23922318891636246,0.3403113783830484,0.19693718969164511,0.1941511414723006,0.18539419412920025,0.23555166198633232
14,0.077,0.13322458073356433,24,12-20-00,2,2,0.0,32.0,171.63434660551815,12.0,0.013189193647723913,1,2,1,1,0.13322458073356433,0.10808775598582182,0.14806321271594147,0.12716206586567275,0.1373883078675965,0.20921933723687972,0.12248270943530314,0.13295611964588186,0.11397811794472988,0.2679446937818502
15,0.41,0.23161739769284478,24,12-20-00,5,2,0.0,32.0,264.6347679567668,12.0,0.013189193647723913,2,2,1,1,0.23161739769284478,0.23008233399784483,0.3104215471057585,0.23008233399784483,0.22357075561172832,0.3225852625465708,0.20724628949836404,0.206535873119399,0.17573739400644442,0.2161685794868362
16,0.408,0.28643658854152954,24,12-70-00,3,1,0.0,82.0,204.24896633551054,12.0,0.010771174812307861,2,2,1,1,0.28337142111207986,0.18741755123554174,0.23258156872624142,0.18741755123554174,0.15857264451868966,0.4886368823294102,0.15497854050740353,0.24863008788468582,0.24087414367429086,0.11981511202021064
17,0.478,0.2754810293082685,24,12-70-00,3,2,0.0,82.0,196.73119283104023,12.0,0.010771174812307861,2,2,1,1,0.2729413944647914,0.22961149279367116,0.28548277046019005,0.22961149279367116,0.15048065825210577,0.4706516681411103,0.1961904608491582,0.3177395729674616,0.23200831053096918,0.10807802281126132
18,0.25,0.11754328444338155,24,25-20-00,11,1,0.0,32.0,155.75864316655998,25.0,0.03601917740873416,2,2,1,1,0.11754328444338155,0.1038622160636134,0.11793063241437163,0.1038622160636134,0.09345567668985941,0.17731506743066078,0.1181843956228886,0.12034577943768814,0.11029886632917647,0.14149077079128766
