,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,MC 2010,15,0.002406970411336376,0.002406970411336376,0.026,0.066,0.122,0.2323705751766644,0.2323705751766644,0.096,0.10468957191692638,MC 2010,84,-0.12177293574872575,-0.11499999999999999,0.002,0.038,0.08,0.197,0.23194847054650364,0.078,0.07742328513774509,MC 2010,71,-0.1490296317117386,-0.134,-0.035,0.0,0.031,0.10734498120056413,0.10734498120056413,0.066,0.05390411545014179,MC 2010,32,-0.13362496397280266,-0.13362496397280266,-0.073,-0.03,-0.015,0.061595153987574314,0.061595153987574314,0.057999999999999996,0.06387777540743748,MC 2010,2,-0.13692724405931983,-0.13692724405931983,-0.132,-0.127,-0.122,-0.11640626623927741,-0.11640626623927741,0.010000000000000009,0.12708164498748448
1,Noakowski,15,-0.01574210364153865,-0.01574210364153865,0.028,0.061,0.102,0.21299999999999997,0.2464311876565866,0.074,0.10056702223757487,Noakowski,84,-0.11279756264574328,-0.0895,0.005,0.036,0.068,0.1625,0.18021377226217172,0.063,0.06840091284065504,Noakowski,71,-0.13902847211312586,-0.13902847211312586,-0.048,-0.006,0.018,0.08796399720775896,0.08796399720775896,0.066,0.051244623564233246,Noakowski,32,-0.17376810750463542,-0.17149999999999999,-0.077,-0.059,-0.014,0.0805,0.08079981340456399,0.063,0.07186313264043243,Noakowski,2,-0.1838519596223798,-0.1838519596223798,-0.178,-0.173,-0.167,-0.1619836010957139,-0.1619836010957139,0.010999999999999982,0.1732631381467572
2,Gergely + Lutz,15,-0.019136112485297452,-0.019136112485297452,0.023,0.05,0.086,0.15556727981246796,0.15556727981246796,0.063,0.07295144010559361,Gergely + Lutz,84,-0.1163158585790315,-0.1163158585790315,-0.031,0.003,0.042,0.1500109012544778,0.1500109012544778,0.07300000000000001,0.04986277734503934,Gergely + Lutz,71,-0.1804216995951039,-0.1565,-0.089,-0.07,-0.044,0.023500000000000007,0.07299063825752558,0.045,0.07911926496687123,Gergely + Lutz,32,-0.21988598229790263,-0.21549999999999997,-0.142,-0.126,-0.093,-0.019500000000000017,0.012869351928688988,0.04899999999999999,0.12950996788074146,Gergely + Lutz,2,-0.2448859822979026,-0.2448859822979026,-0.224,-0.203,-0.182,-0.16140813840266874,-0.16140813840266874,0.04200000000000001,0.20739061149027904
3,SMTCM,15,-0.024580310017390444,-0.024580310017390444,0.038,0.061,0.145,0.20344778152826906,0.20344778152826906,0.10699999999999998,0.10805654430568036,SMTCM,84,-0.0760071128054608,-0.0760071128054608,-0.013,0.038,0.082,0.22450000000000003,0.25866635264839,0.095,0.07991546990559444,SMTCM,71,-0.1753505955499191,-0.1753505955499191,-0.072,-0.05,-0.001,0.10238208028338694,0.10238208028338694,0.071,0.0667855627031702,SMTCM,32,-0.19972521173863383,-0.19972521173863383,-0.139,-0.105,-0.047,0.07606707925346629,0.07606707925346629,0.09200000000000001,0.11476959214241712,SMTCM,2,-0.2247252117386338,-0.2247252117386338,-0.19,-0.155,-0.12,-0.08573127949428905,-0.08573127949428905,0.07,0.17007538486609652
