,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,19,-28.49128912324454,-28.49128912324454,17.589,55.931,63.165,93.27341075514141,93.27341075514141,45.576,54.88305622306013,MC 2010,21,-104.56938746222843,-104.56938746222843,-40.797,-15.494,13.22,62.24703877755144,62.24703877755144,54.016999999999996,48.69178474080151,MC 2010,4,-114.06894096959093,-114.06894096959093,-89.852,-55.311,-24.513,-11.524052393908107,-11.524052393908107,65.339,71.87541110005303
1,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,19,-65.573659953497,-65.573659953497,-21.725,-5.048,22.569,52.06661265951422,52.06661265951422,44.294,31.89312025805171,Noakowski,21,-147.81594436094886,-147.81594436094886,-100.52,-49.681,-20.005,10.99758507420006,10.99758507420006,80.515,72.8426705638577,Noakowski,4,-173.51712900919102,-173.51712900919102,-146.389,-122.312,-99.944,-77.94344603932097,-77.94344603932097,46.44500000000001,128.99198415133827
2,Gergely + Lutz,0,0,0,0,0,0,0,0,0,0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,19,-77.08416760994146,-77.08416760994146,-29.731,3.584,63.875,159.24783228114214,159.24783228114214,93.606,67.53221356054574,SMTCM,21,-141.85302554366842,-115.549,-66.733,-51.769,-34.189,8.860448078183794,8.860448078183794,32.544000000000004,63.42000162682244,SMTCM,4,-203.55294852385393,-203.55294852385393,-166.866,-118.405,-59.887,6.976212764844206,6.976212764844206,106.97900000000001,134.3014385728439
