,meas_wmax,wmax_007,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
0,0.228,0.12010238416892241,1,2-16R,3,2,1.7209776510422774,35.049999999999976,198.08348109839045,12.7,0.0174539033302085,2,2,1,1
1,0.303,0.18576224342319053,1,2-16R,4,2,2.2407371150845345,35.049999999999976,258.48224516667364,12.7,0.0174539033302085,2,2,1,1
2,0.303,0.13340572683537041,1,2-16T,3,2,1.5230735027274478,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
3,0.344,0.20680296949689136,1,2-16T,4,2,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
4,0.446,0.2725008289235503,1,2-16T,5,2,2.405287983054968,35.049999999999976,340.3258668771513,12.7,0.0174539033302085,2,2,1,1
5,0.252,0.14331060748160085,1,2-24R,2,2,1.2711711495919569,35.049999999999976,197.30800034554832,12.7,0.0153020522347034,1,2,1,1
6,0.391,0.2744438378938215,1,2-24R,3,2,2.109796622656963,35.049999999999976,328.6324485774948,12.7,0.0153020522347034,2,2,1,1
7,0.148,0.09237647050514798,1,2-32R1,2,2,1.6713671977421114,35.00000000000002,157.36757000838156,12.7,0.0249525718711917,2,2,1,1
8,0.251,0.19754553685016404,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
9,0.279,0.11065872460508516,1,2-4.75T,4,2,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
10,0.392,0.1597127897271903,1,2-4.75T,5,2,3.685897743816651,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
11,0.4233717399409609,0.19413132864480193,1,2-4.75T,6,2,4.3370341345997,35.17999999999997,301.3452136588619,12.7,0.0383649706486183,2,2,1,1
12,0.188,0.10852960790942542,1,2-8R,2,2,2.6580586302820026,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
13,0.254,0.15931536526116769,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
14,0.176,0.12583329920330985,1,2-8T,3,2,1.635633044825464,35.049999999999976,191.9465075298567,12.7,0.0174539033302085,2,2,1,1
15,0.275,0.19311319072649902,1,2-8T,4,2,2.148769759073008,35.049999999999976,252.47512226345737,12.7,0.0174539033302085,2,2,1,1
16,0.38,0.27047930257993247,1,2-8T,5,2,2.736743614003816,35.049999999999976,322.0338043867156,12.7,0.0174539033302085,2,2,1,1
17,0.406,0.23814892038992422,1,3-S2,3,2,0.8026876628081269,44.44999999999998,197.36542245722396,12.700000000000005,0.0087266462599716,1,2,1,1
18,0.115,0.1364360976583095,2,R17,3,2,2.903560298989625,30.0,208.1364770305348,16.0,0.028519422670886,2,2,1,1
19,0.13,0.18225428007177033,2,R17,4,2,3.629593556735535,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
20,0.15,0.2284461255838038,2,R17,5,2,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,1,1
21,0.165,0.2284461255838038,2,R17,6,2,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
22,0.125,0.09638215236200713,2,R18,3,2,1.5492389508955433,20.0,191.1342290475247,12.341463414634148,0.0157702964555201,2,2,1,1
23,0.125,0.14012925667969933,2,R18,4,2,1.936449199860702,20.0,239.1887328785413,12.341463414634148,0.0157702964555201,2,2,1,1
24,0.185,0.18402636134242253,2,R18,5,2,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,1,1
25,0.168,0.18402636134242253,2,R18,6,2,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,14,1
26,0.2,0.22803622358312367,2,R18,7,2,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
27,0.115,0.12579753924787856,2,R19,2,2,1.716227893615329,33.0,206.0266194787813,10.0,0.0147078307752331,2,2,1,1
28,0.15,0.1783299830493627,2,R19,3,2,2.145284867019161,33.0,257.94261488758053,10.0,0.0147078307752331,2,2,1,1
29,0.2,0.23107561223075615,2,R19,4,2,2.5743418404229934,33.0,310.04460147185046,10.0,0.0147078307752331,2,2,1,1
30,0.225,0.23107561223075615,2,R19,5,2,2.5743418404229934,33.0,310.04460147185046,10.0,0.0147078307752331,2,2,14,1
31,0.15,0.13031756143611434,2,R21,3,2,3.235078358649276,19.0,196.24104766651948,21.33333333333333,0.0264772911709954,2,2,1,1
32,0.185,0.17424530151415601,2,R21,4,2,4.043847948311595,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
33,0.2,0.21857787672963658,2,R21,5,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
34,0.25,0.21857787672963658,2,R21,6,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
35,0.25,0.263371254754033,2,R21,7,2,5.6613871276362335,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
36,0.15,0.18224332019428977,2,R25,3,2,2.6785655403760407,35.0,194.6850029938567,16.0,0.021795331146856,2,2,1,1
