,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,MC 2010,8,0.015127494824592067,0.015127494824592067,0.016,0.031,0.037,0.0685,0.21486715606418802,0.020999999999999998,0.08025346879240165,MC 2010,25,-0.05852078936368166,-0.05350000000000002,0.029,0.044,0.084,0.16650000000000004,0.2533812535654636,0.05500000000000001,0.09296436895381872,MC 2010,15,-0.09696131193351093,-0.09696131193351093,-0.046,0.011,0.03,0.10546685589656446,0.10546685589656446,0.076,0.058292506731255536,MC 2010,16,-0.12042676204986805,-0.12042676204986805,-0.059,-0.025,0.024,0.13996901140995616,0.13996901140995616,0.08299999999999999,0.07720917678024056,MC 2010,4,-0.13754272987091665,-0.13754272987091665,-0.118,-0.105,-0.078,-0.01932696532538608,-0.01932696532538608,0.039999999999999994,0.10157067680916558
1,MC 2020,8,-0.015790778902172398,-0.015790778902172398,-0.012,0.001,0.013,0.0505,0.19375877193952365,0.025,0.0696127157273377,MC 2020,25,-0.07947039209057458,-0.07947039209057458,-0.028,-0.012,0.021,0.09450000000000001,0.22889527774870838,0.049,0.08045885178687442,MC 2020,15,-0.1728941183911349,-0.1325,-0.059,-0.031,-0.01,0.0635,0.2383297290078492,0.048999999999999995,0.09983099361416399,MC 2020,16,-0.2200414609730863,-0.2200414609730863,-0.104,-0.068,-0.017,0.1135,0.30406333868167684,0.087,0.1319371500246821,MC 2020,4,-0.2347772415868295,-0.2347772415868295,-0.177,-0.155,-0.13,-0.06524459321384313,-0.06524459321384313,0.046999999999999986,0.1639395265868852
2,Oh + Kang,8,0.04650824733948991,0.04650824733948991,0.05,0.063,0.064,0.08499999999999999,0.21960404380014473,0.013999999999999999,0.09471040398747885,Oh + Kang,25,-0.08281373793334879,-0.0005000000000000074,0.04,0.05,0.067,0.10750000000000001,0.26633157693330356,0.027000000000000003,0.09012136308424784,Oh + Kang,15,-0.10392295267948842,-0.10392295267948842,-0.036,-0.011,0.031,0.09861640671428967,0.09861640671428967,0.067,0.05356784031823099,Oh + Kang,16,-0.14102754376665172,-0.14102754376665172,-0.105,-0.015,-0.007,0.04711332255142614,0.04711332255142614,0.09799999999999999,0.07237802098955752,Oh + Kang,4,-0.19130565185954868,-0.19130565185954868,-0.191,-0.153,-0.113,-0.10733795486145414,-0.10733795486145414,0.078,0.15636880632001013
3,Noakowski,8,0.05033481546876957,0.05033481546876957,0.053,0.059,0.065,0.083,0.14669236141586495,0.012000000000000004,0.07591820778142766,Noakowski,25,-0.10112244876195575,0.0029999999999999957,0.042,0.053,0.068,0.10700000000000001,0.16938751816239744,0.026000000000000002,0.06892138327389372,Noakowski,15,-0.16240059244689176,-0.1335,-0.048,-0.023,0.009,0.05330616437233743,0.05330616437233743,0.057,0.06619840102210182,Noakowski,16,-0.19537382663881706,-0.19537382663881706,-0.14,-0.061,-0.027,0.050799813404563965,0.050799813404563965,0.11300000000000002,0.10580573450236286,Noakowski,4,-0.24076810750463543,-0.24076810750463543,-0.201,-0.187,-0.169,-0.12100000000000001,-0.11619571925937316,0.032,0.18816958725154287
4,Menn,8,0.00391506505943795,0.00391506505943795,0.015,0.03,0.093,0.21,0.24857292586696758,0.078,0.10090422692880358,Menn,25,-0.025475595446603355,0.03150000000000003,0.099,0.122,0.144,0.21149999999999997,0.29246576554808157,0.044999999999999984,0.13897949480281496,Menn,15,-0.08265766981390174,-0.08265766981390174,0.02,0.055,0.119,0.18581554735378808,0.18581554735378808,0.09899999999999999,0.09655768860633417,Menn,16,-0.10505554535068556,-0.10505554535068556,-0.003,0.061,0.129,0.327,0.35102013800591947,0.132,0.13831336408891187,Menn,4,-0.11884657806356086,-0.11884657806356086,-0.063,-0.032,-0.002,0.053350647902831505,0.053350647902831505,0.061,0.0695327242412169
5,JSCE,8,0.07440652231341532,0.07440652231341532,0.079,0.09,0.093,0.11399999999999999,0.28858188929331263,0.013999999999999999,0.129926999285876,JSCE,25,-0.020883816633162078,-0.01999999999999999,0.07,0.081,0.13,0.22,0.3373472667390095,0.06,0.12573695203099317,JSCE,15,-0.10335205007376885,-0.10335205007376885,0.017,0.023,0.124,0.15214602300413127,0.15214602300413127,0.107,0.08904044426438466,JSCE,16,-0.11855424991825073,-0.11855424991825073,-0.039,0.06,0.135,0.2009384293825177,0.2009384293825177,0.17400000000000002,0.11474188613177362,JSCE,4,-0.1546780021373541,-0.1546780021373541,-0.1,-0.076,-0.053,-0.002394613409754942,-0.002394613409754942,0.04700000000000001,0.09424362204214236
6,Gergely + Lutz,8,0.041249515439798046,0.041249515439798046,0.048,0.054,0.062,0.08299999999999999,0.16974567884433114,0.013999999999999999,0.07835722059435409,Gergely + Lutz,25,-0.05679640106632325,-0.030000000000000002,0.018,0.031,0.05,0.098,0.1947279442928867,0.032,0.06575650123951936,Gergely + Lutz,15,-0.08854161466584357,-0.08854161466584357,-0.068,-0.057,-0.044,-0.007999999999999986,0.067938825308071,0.024000000000000007,0.06144495953448867,Gergely + Lutz,16,-0.17642816771235947,-0.17642816771235947,-0.123,-0.104,-0.068,-0.0373794453531614,-0.0373794453531614,0.05499999999999999,0.10997135019533157,Gergely + Lutz,4,-0.23888113570414876,-0.23888113570414876,-0.23,-0.195,-0.154,-0.12677187830846193,-0.12677187830846193,0.07600000000000001,0.1944734160860704
7,SMTCM,8,0.061836136081319604,0.061836136081319604,0.062,0.082,0.083,0.09534968544881502,0.09534968544881502,0.021000000000000005,0.07728090987533831,SMTCM,25,-0.0753619042635877,-0.0385,0.041,0.067,0.094,0.12644141084585026,0.12644141084585026,0.053,0.07901554280949326,SMTCM,15,-0.11741026159200557,-0.11741026159200557,-0.105,-0.077,-0.061,0.0050000000000000044,0.051060703657018425,0.044,0.08465311636627317,SMTCM,16,-0.20361449698785647,-0.20361449698785647,-0.176,-0.125,-0.103,-0.06305609298103887,-0.06305609298103887,0.073,0.14086010024336673,SMTCM,4,-0.2615646263324196,-0.2615646263324196,-0.253,-0.221,-0.184,-0.16057537144992617,-0.16057537144992617,0.069,0.21977137765763816
