,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,17,-28.49128912324454,-28.49128912324454,18.978,38.019,58.22,82.1128162488244,82.1128162488244,39.242,45.5204452304809,MC 2010,20,-104.56938746222843,-104.56938746222843,-34.654,-3.688,16.022,86.82972674367522,86.82972674367522,50.676,51.311741428375065,MC 2010,5,-114.06894096959093,-114.06894096959093,-81.78,-36.005,-23.505,-11.524052393908107,-11.524052393908107,58.275000000000006,65.85020702770582
1,MC 2020,0,0,0,0,0,0,0,0,0,0,MC 2020,17,-54.30541257380989,-54.30541257380989,-18.834,16.729,32.254,56.40517281579338,56.40517281579338,51.087999999999994,32.14865301226483,MC 2020,20,-135.04053940697366,-135.04053940697366,-72.434,-42.353,-3.11,100.32362049785763,100.32362049785763,69.324,68.0577583384897,MC 2020,5,-142.8357038716938,-142.8357038716938,-116.139,-109.3,-88.813,-62.661402654325514,-62.661402654325514,27.325999999999993,107.37861184901767
2,Oh + Kang,0,0,0,0,0,0,0,0,0,0,Oh + Kang,17,-62.55470602528669,-62.55470602528669,-14.005,13.44,40.701,122.75999999999999,145.63806855380443,54.706,63.42055112397322,Oh + Kang,20,-135.50157577409087,-135.50157577409087,-72.076,-52.653,-19.693,58.8815,115.12851066001258,52.382999999999996,74.42418194345011,Oh + Kang,5,-129.0376077870957,-129.0376077870957,-119.993,-106.464,-79.537,-77.94450773037005,-77.94450773037005,40.45599999999999,104.67586392797074
3,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,17,-65.573659953497,-56.5395,-10.464,3.143,20.253,50.974106852817414,50.974106852817414,30.717,27.949962111117035,Noakowski,20,-147.81594436094886,-147.81594436094886,-101.204,-55.705,-20.706,46.36790072170692,46.36790072170692,80.49799999999999,77.54978687382494,Noakowski,5,-173.51712900919102,-173.51712900919102,-145.998,-137.346,-107.278,-93.03045248205947,-93.03045248205947,38.719999999999985,134.49964062009582
4,JSCE,0,0,0,0,0,0,0,0,0,0,JSCE,17,-13.561357667116738,-13.561357667116738,24.533,36.224,58.014,108.2355,150.2431379490588,33.481,62.675574386262355,JSCE,20,-76.47617419284109,-76.47617419284109,-24.218,-5.165,35.726,125.642,155.83250185247562,59.944,50.76635860664708,JSCE,5,-98.85372675674049,-98.85372675674049,-86.552,-35.719,-14.703,-6.646988830312068,-6.646988830312068,71.849,61.318070556840986
5,Gergely + Lutz,0,0,0,0,0,0,0,0,0,0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,17,-77.08416760994146,-77.08416760994146,-34.146,7.416,88.114,145.44762127898832,145.44762127898832,122.26,73.70971353791484,SMTCM,20,-165.27701849369288,-165.27701849369288,-109.972,-60.026,-6.2,133.28084437034693,133.28084437034693,103.77199999999999,98.01968788829666,SMTCM,5,-203.55294852385393,-203.55294852385393,-195.837,-154.636,-153.921,-91.047,-82.17435948329512,41.916,163.7939638928161
