,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,8,-16.712627313060608,-16.712627313060608,17.721,30.409,57.347,64.73397245045379,64.73397245045379,39.626000000000005,41.60349477279414,MC 2010,6,-104.56938746222843,-104.56938746222843,-81.986,-57.107,-6.646,62.24703877755144,62.24703877755144,75.34,69.85575287426511,MC 2010,2,-114.06894096959093,-114.06894096959093,-91.428,-68.787,-46.146,-23.504868164408776,-23.504868164408776,45.282,82.35351274035084
1,MC 2020,0,0,0,0,0,0,0,0,0,0,MC 2020,8,-23.832921244138447,-23.832921244138447,-10.739,0.379,34.094,53.18017978661135,53.18017978661135,44.833,28.354801817858796,MC 2020,6,-115.19606128814684,-115.19606128814684,-106.146,-65.932,15.395,100.32362049785763,100.32362049785763,121.541,88.53311622314537,MC 2020,2,-142.8357038716938,-142.8357038716938,-129.33,-115.824,-102.319,-88.81313324247174,-88.81313324247174,27.01100000000001,118.9323566925066
2,Oh + Kang,0,0,0,0,0,0,0,0,0,0,Oh + Kang,8,-12.50539259181349,-12.50539259181349,19.659,52.435,125.859,145.63806855380443,145.63806855380443,106.19999999999999,86.56805343594502,Oh + Kang,6,-127.26573975434934,-127.26573975434934,-79.964,-38.283,27.229,115.12851066001258,115.12851066001258,107.193,84.30346997417614,Oh + Kang,2,-129.0376077870957,-129.0376077870957,-116.662,-104.287,-91.912,-79.53701609211154,-79.53701609211154,24.75,107.1840500080426
3,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,8,-23.85699791255439,-23.85699791255439,-3.49,4.047,17.219,48.282500000000006,50.974106852817414,20.709000000000003,23.106765535260763,Noakowski,6,-147.81594436094886,-147.81594436094886,-116.778,-94.96,-39.921,10.99758507420006,10.99758507420006,76.857,96.09091069048378,Noakowski,2,-173.51712900919102,-173.51712900919102,-166.637,-159.758,-152.878,-145.9984740500599,-145.9984740500599,13.759000000000015,160.34922588609254
4,Menn,0,0,0,0,0,0,0,0,0,0,Menn,8,57.29477632708057,57.29477632708057,64.473,100.919,129.997,181.65709877880442,181.65709877880442,65.52400000000002,111.29830848288842,Menn,6,-22.343606051429333,-22.343606051429333,-10.12,42.935,117.593,178.48682487252603,178.48682487252603,127.71300000000001,97.52712224773045,Menn,2,-37.896288210322666,-37.896288210322666,15.17,68.236,121.302,174.36776720100573,174.36776720100573,106.132,126.17497156485507
5,JSCE,0,0,0,0,0,0,0,0,0,0,JSCE,8,-13.561357667116738,-13.561357667116738,10.926,38.992,84.199,150.2431379490588,150.2431379490588,73.273,78.83120090904724,JSCE,6,-76.47617419284109,-76.47617419284109,-51.997,1.046,54.734,155.83250185247562,155.83250185247562,106.731,81.760135700334,JSCE,2,-98.85372675674049,-98.85372675674049,-75.802,-52.75,-29.699,-6.646988830312068,-6.646988830312068,46.10300000000001,70.05798225115609
6,Gergely + Lutz,0,0,0,0,0,0,0,0,0,0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,8,-50.07290815926444,-50.07290815926444,-22.885,5.692,33.07,88.11372615790143,88.11372615790143,55.955,45.475416402104536,SMTCM,6,-141.85302554366842,-141.85302554366842,-117.822,-95.533,-63.638,-30.85175017465258,-30.85175017465258,54.184000000000005,97.94891695168718,SMTCM,2,-203.55294852385393,-203.55294852385393,-201.624,-199.695,-197.766,-195.8365205841835,-195.8365205841835,3.858000000000004,199.73200250244582
