,meas_wmax,wmax_007,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
0,0.228,0.12010238416892241,1,2-16R,3,2,0.0,35.049999999999976,198.08348109839045,12.7,0.0174539033302085,2,2,1,1
1,0.303,0.18576224342319053,1,2-16R,4,2,0.0,35.049999999999976,258.48224516667364,12.7,0.0174539033302085,2,2,1,1
2,0.303,0.13340572683537041,1,2-16T,3,2,0.0,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
3,0.344,0.20680296949689136,1,2-16T,4,2,0.0,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
4,0.446,0.2725008289235503,1,2-16T,5,2,0.0,35.049999999999976,340.3258668771513,12.7,0.0174539033302085,2,2,1,1
5,0.252,0.14331060748160085,1,2-24R,2,2,0.0,35.049999999999976,197.30800034554832,12.7,0.0153020522347034,1,2,1,1
6,0.391,0.2744438378938215,1,2-24R,3,2,0.0,35.049999999999976,328.6324485774948,12.7,0.0153020522347034,2,2,1,1
7,0.148,0.09237647050514798,1,2-32R1,2,2,0.0,35.00000000000002,157.36757000838156,12.7,0.0249525718711917,2,2,1,1
8,0.251,0.19754553685016404,1,2-32R1,3,2,0.0,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
9,0.279,0.11065872460508516,1,2-4.75T,4,2,0.0,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
10,0.392,0.1597127897271903,1,2-4.75T,5,2,0.0,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
11,0.188,0.10852960790942542,1,2-8R,2,2,0.0,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
12,0.254,0.15931536526116769,1,2-8R,3,2,0.0,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
