,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,21,-114.069,-114.069,-32.607,19.971,57.695,88.055,88.055,90.302,61.91
1,Noakowski,21,-173.517,-173.517,-75.085,-12.488,12.167,52.067,52.067,87.252,73.152
2,Menn,21,-38.142,-38.142,41.153,61.245,137.255,208.555,208.555,96.102,110.561
3,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SMTCM,21,-203.553,-176.491,-56.512,-18.064,23.474,143.453,159.248,79.986,84.32
