,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,MC 2010,185,-0.006935106249671169,-0.006935106249671169,0.026,0.04,0.058,0.10600000000000001,0.20975381349488062,0.032,0.06719082767391664,MC 2010,633,-0.10838879122008338,-0.0915,-0.015,0.007,0.036,0.11249999999999999,0.17709878080778163,0.051,0.04915347920852326,MC 2010,213,-0.1402310634855023,-0.1402310634855023,-0.034,0.009,0.04,0.14198890166081854,0.14198890166081854,0.07400000000000001,0.05146094937261418,MC 2010,46,-0.2624914894041668,-0.1905,-0.081,-0.047,-0.008,0.05278451928089645,0.05278451928089645,0.07300000000000001,0.07728461331936189,MC 2010,3,-0.25351447389516746,-0.25351447389516746,-0.234,-0.214,-0.213,-0.211308679707499,-0.211308679707499,0.02100000000000002,0.2271769556355565
1,MC 2020,185,-0.00041592812462475093,-0.00041592812462475093,0.032,0.045,0.064,0.112,0.21647351840211418,0.032,0.07101049685229037,MC 2020,633,-0.11657967298228715,-0.098,-0.014,0.011,0.042,0.126,0.18376088824438175,0.056,0.050926893921992816,MC 2020,213,-0.13466352345457328,-0.13466352345457328,-0.029,0.011,0.042,0.10630587771180852,0.10630587771180852,0.07100000000000001,0.05015977017772009,MC 2020,46,-0.2699869676533523,-0.162,-0.078,-0.051,-0.022,0.014089947478543419,0.014089947478543419,0.056,0.07704295645836978,MC 2020,3,-0.23611354440553572,-0.23611354440553572,-0.232,-0.229,-0.227,-0.2251484176413613,-0.2251484176413613,0.0050000000000000044,0.23008702902605319
2,Noakowski,185,-0.04201543619668848,-0.04201543619668848,-0.003,0.019,0.036,0.0945,0.13138927216615415,0.039,0.040061007491516004,Noakowski,633,-0.11605741861250844,-0.10400000000000001,-0.035,-0.014,0.011,0.08,0.139788603352674,0.046,0.04184726445331399,Noakowski,213,-0.16919430138164412,-0.158,-0.059,-0.026,0.007,0.10600000000000001,0.13987108984229182,0.066,0.05836642427926464,Noakowski,46,-0.29483115214368877,-0.1865,-0.095,-0.062,-0.034,0.005452165321563451,0.005452165321563451,0.061,0.0993323578968638,Noakowski,3,-0.29303066856247373,-0.29303066856247373,-0.255,-0.216,-0.192,-0.16803659150126266,-0.16803659150126266,0.063,0.2316109067564464
3,Menn,185,-0.011770810496064876,-0.011770810496064876,0.026,0.041,0.064,0.12100000000000001,0.18995224094482402,0.038000000000000006,0.06726027706294149,Menn,633,-0.08822756781090196,-0.08822756781090196,-0.008,0.017,0.049,0.1345,0.17775348032217214,0.057,0.05420918382676077,Menn,213,-0.1651961134847282,-0.1651961134847282,-0.046,-0.006,0.035,0.1565,0.23248272196636974,0.081,0.06398978628043774,Menn,46,-0.2556858797560385,-0.2556858797560385,-0.101,-0.024,0.061,0.1478033460271963,0.1478033460271963,0.162,0.10210594025819754,Menn,3,-0.2881061741109676,-0.2881061741109676,-0.207,-0.125,-0.12,-0.11462060794915002,-0.11462060794915002,0.087,0.19302870211380016
4,SMTCM,185,-0.0404977846252553,-0.009000000000000001,0.054,0.073,0.096,0.159,0.2382466033603702,0.042,0.09259033251515877,SMTCM,633,-0.11591659272245512,-0.073,0.017,0.045,0.077,0.16699999999999998,0.20396028467121308,0.06,0.06852893871534693,SMTCM,213,-0.17195376110698907,-0.1295,-0.014,0.029,0.063,0.13943250628193546,0.13943250628193546,0.077,0.0619961116288643,SMTCM,46,-0.2900615180141899,-0.1815,-0.084,-0.045,-0.019,0.051432506281935464,0.051432506281935464,0.065,0.0888166743605781,SMTCM,3,-0.3800615180141899,-0.3800615180141899,-0.335,-0.29,-0.269,-0.24770305047748722,-0.24770305047748722,0.066,0.31097489333258566
