,meas_wm,wm_019,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
15,0.149,0.17548397274833738,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
17,0.11,0.17548397274833738,1,2-32R1,3,1,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
23,0.112,0.09762135994835623,1,2-8R,2,2,2.6580586302820026,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
24,0.155,0.1302685472471862,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
25,0.069,0.09762135994835623,1,2-8R,2,1,2.6580586302820026,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
26,0.11,0.1302685472471862,1,2-8R,3,1,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
37,0.066,0.11096120814283487,2,R17,3,1,2.903560298989625,30.0,208.1364770305348,16.0,0.028519422670886,2,2,1,1
38,0.071,0.13912937994439065,2,R17,4,1,3.629593556735535,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
39,0.09,0.16749696581510237,2,R17,5,1,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,1,1
40,0.088,0.16749696581510237,2,R17,6,1,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
41,0.061,0.11096120814283487,2,R17,3,2,2.903560298989625,30.0,208.1364770305348,16.0,0.028519422670886,2,2,1,1
42,0.065,0.13912937994439065,2,R17,4,2,3.629593556735535,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
43,0.085,0.16749696581510237,2,R17,5,2,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,1,1
44,0.093,0.16749696581510237,2,R17,6,2,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
64,0.069,0.1067640821826545,2,R21,3,1,3.235078358649276,19.0,196.24104766651948,21.33333333333333,0.0264772911709954,2,2,1,1
65,0.08,0.13389117379531634,2,R21,4,1,4.043847948311595,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
66,0.092,0.16123486288090788,2,R21,5,1,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
67,0.119,0.16123486288090788,2,R21,6,1,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
68,0.141,0.1888250520963215,2,R21,7,1,5.6613871276362335,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
69,0.077,0.1067640821826545,2,R21,3,2,3.235078358649276,19.0,196.24104766651948,21.33333333333333,0.0264772911709954,2,2,1,1
70,0.098,0.13389117379531634,2,R21,4,2,4.043847948311595,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
71,0.119,0.16123486288090788,2,R21,5,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
72,0.14,0.16123486288090788,2,R21,6,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
73,0.157,0.1888250520963215,2,R21,7,2,5.6613871276362335,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
102,0.2,0.21736865928424193,2,R33,5,1,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
103,0.21,0.21736865928424193,2,R33,6,1,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
106,0.205,0.21736865928424193,2,R33,5,2,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
107,0.244,0.21736865928424193,2,R33,6,2,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
108,0.268,0.254270968281049,2,R33,7,2,5.071984905953981,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
111,0.17,0.21586302882011552,2,R49,5,2,4.578586719364144,33.0,293.4376437333642,16.0,0.022155584554242,2,2,1,1
112,0.17,0.21586302882011552,2,R49,6,2,4.578586719364144,33.0,293.4376437333642,16.0,0.022155584554242,2,2,14,1
