,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,208,-0.183,-0.1215,-0.003,0.035,0.076,0.1945,0.253,0.079,0.082
1,MC 2020,208,-0.235,-0.178,-0.055,-0.014,0.027,0.15,0.304,0.082,0.086
2,Oh + Kang,208,-0.233,-0.13149999999999998,-0.022,0.029,0.051,0.16049999999999998,0.266,0.073,0.075
3,Noakowski,208,-0.277,-0.17900000000000002,-0.041,0.016,0.051,0.169,0.169,0.092,0.079
4,JSCE,208,-0.179,-0.08950000000000001,0.05,0.097,0.143,0.2825,0.341,0.093,0.128
5,Gergely + Lutz,208,-0.239,-0.2265,-0.06,0.004,0.051,0.195,0.195,0.111,0.079
6,SMTCM,208,-0.262,-0.262,-0.091,-0.009,0.065,0.194,0.194,0.156,0.097
