,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,68,-0.138,-0.138,-0.031,0.026,0.052,0.1765,0.253,0.083,0.082
1,MC 2020,68,-0.235,-0.1565,-0.059,-0.021,0.006,0.10350000000000001,0.304,0.065,0.104
2,Oh + Kang,68,-0.191,-0.13999999999999999,-0.026,0.036,0.05,0.16399999999999998,0.266,0.076,0.086
3,Noakowski,68,-0.241,-0.2025,-0.048,0.017,0.055,0.169,0.169,0.103,0.09
4,Menn,68,-0.119,-0.119,0.021,0.096,0.131,0.29600000000000004,0.351,0.11,0.123
5,JSCE,68,-0.155,-0.14150000000000001,0.019,0.077,0.126,0.2865,0.337,0.107,0.115
6,Gergely + Lutz,68,-0.239,-0.239,-0.079,-0.028,0.042,0.195,0.195,0.121,0.091
7,SMTCM,68,-0.262,-0.262,-0.113,-0.053,0.069,0.126,0.126,0.182,0.11
