,meas_smax,smax_012,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
1,258.1826581010427,154.92886199837653,1,2-16R,4,2,2.2407371150845345,35.049999999999976,258.48224516667364,12.7,0.0174539033302085,2,2,1,1
3,258.1826581010427,154.92886199837653,1,2-16R,4,1,2.2407371150845345,35.049999999999976,258.48224516667364,12.7,0.0174539033302085,2,2,1,1
5,231.3220122768291,172.0640908865813,1,2-16T,4,2,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
8,231.3220122768291,172.0640908865813,1,2-16T,4,1,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
11,312.07666388801704,204.7990392062518,1,2-24R,3,2,2.109796622656963,35.049999999999976,328.6324485774948,12.7,0.0153020522347034,2,2,1,1
13,312.07666388801704,204.7990392062518,1,2-24R,3,1,2.109796622656963,35.049999999999976,328.6324485774948,12.7,0.0153020522347034,2,2,1,1
15,282.0232429555187,134.20729859456983,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
17,282.0232429555187,134.20729859456983,1,2-32R1,3,1,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
18,169.2200684211645,103.64640846766751,1,2-4.75T,4,2,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
21,169.2200684211645,103.64640846766751,1,2-4.75T,4,1,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
24,218.7776356012505,98.0282167965025,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
26,218.7776356012505,98.0282167965025,1,2-8R,3,1,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
28,218.70836693537032,169.02784584318164,1,2-8T,4,2,2.148769759073008,35.049999999999976,252.47512226345737,12.7,0.0174539033302085,2,2,1,1
