,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,12,-26.712627313060608,-26.712627313060608,22.878,46.752,62.38,88.05507985076082,88.05507985076082,39.502,52.39641414905224,MC 2010,8,-104.56938746222843,-104.56938746222843,-81.734,-50.229,-18.88,62.24703877755144,62.24703877755144,62.854,65.70271671020957,MC 2010,1,-114.06894096959093,-114.06894096959093,-114.069,-114.069,-114.069,-114.069,-114.06894096959093,0,114.06894096959093
1,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,12,-23.85699791255439,-23.85699791255439,-8.104,4.864,35.44,52.06661265951422,52.06661265951422,43.544,29.062161279697744,Noakowski,8,-147.81594436094886,-147.81594436094886,-121.489,-89.975,-47.462,10.99758507420006,10.99758507420006,74.027,94.95536575592713,Noakowski,1,-173.51712900919102,-173.517,-173.517,-173.517,-173.517,-173.51712900919102,-173.51712900919102,0,173.51712900919102
2,Menn,0,0,0,0,0,0,0,0,0,0,Menn,12,55.549697641382295,55.549697641382295,60.939,130.501,163.202,208.55541158198983,208.55541158198983,102.263,132.34051389885389,Menn,8,-22.343606051429333,-22.343606051429333,-9.27,16.714,57.026,156.47000000000003,178.48682487252603,66.296,75.06301310628407,Menn,1,-38.14200304997587,-38.142,-38.142,-38.142,-38.142,-38.14200304997587,-38.14200304997587,0,38.14200304997587
3,Gergely + Lutz,0,0,0,0,0,0,0,0,0,0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,12,-60.07290815926444,-60.07290815926444,-5.792,18.281,87.475,159.24783228114214,159.24783228114214,93.267,71.61940542216531,SMTCM,8,-141.85302554366842,-141.85302554366842,-90.275,-50.159,-37.536,8.860448078183794,8.860448078183794,52.739000000000004,76.09247150289492,SMTCM,1,-203.55294852385393,-203.55294852385393,-203.553,-203.553,-203.553,-203.553,-203.55294852385393,0,203.55294852385393
