,meas_wmax,wmax_006,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
0,0.228,0.17789532754194654,1,2-16R,3,2,1.7209776510422774,35.049999999999976,198.0834810983904,12.7,0.0174539033302085,2,2,1,1
1,0.303,0.25927720870488996,1,2-16R,4,2,2.2407371150845345,35.049999999999976,258.4822451666737,12.7,0.0174539033302085,2,2,1,1
2,0.151,0.14362418969618093,1,2-16R,3,1,1.7209776510422774,35.049999999999976,198.0834810983904,12.7,0.0174539033302085,2,2,1,1
3,0.175,0.20914943904947658,1,2-16R,4,1,2.2407371150845345,35.049999999999976,258.4822451666737,12.7,0.0174539033302085,2,2,1,1
4,0.303,0.19325922969275217,1,2-16T,3,2,1.5230735027274478,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
5,0.344,0.2857493883601051,1,2-16T,4,2,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
6,0.446,0.36837902412984985,1,2-16T,5,2,2.405287983054968,35.049999999999976,340.32586687715127,12.7,0.0174539033302085,2,2,1,1
7,0.197,0.15890005037706192,1,2-16T,3,1,1.5230735027274478,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
8,0.305,0.2348663032849978,1,2-16T,4,1,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
9,0.356,0.3026867296591584,1,2-16T,5,1,2.405287983054968,35.049999999999976,340.32586687715127,12.7,0.0174539033302085,2,2,1,1
10,0.252,0.1933973350296685,1,2-24R,2,2,1.2711711495919569,35.049999999999976,197.3080003455484,12.7,0.0153020522347034,1,2,1,1
11,0.391,0.43593342672007523,1,2-24R,3,2,2.109796622656963,35.049999999999976,328.63244857749464,12.7,0.0153020522347034,2,2,1,1
12,0.161,0.15775227751669135,1,2-24R,2,1,1.2711711495919569,35.049999999999976,197.3080003455484,12.7,0.0153020522347034,1,2,1,1
13,0.318,0.3551345689010195,1,2-24R,3,1,2.109796622656963,35.049999999999976,328.63244857749464,12.7,0.0153020522347034,2,2,1,1
14,0.148,0.11568008443263275,1,2-32R1,2,2,1.6713671977421114,35.00000000000002,157.3675700083816,12.7,0.0249525718711917,2,2,1,1
15,0.251,0.24153501325477456,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
16,0.137,0.09932541636805507,1,2-32R1,2,1,1.6713671977421114,35.00000000000002,157.3675700083816,12.7,0.0249525718711917,2,2,1,1
17,0.214,0.20711416457183715,1,2-32R1,3,1,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
18,0.279,0.14737947269592042,1,2-4.75T,4,2,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
19,0.392,0.20908729863801628,1,2-4.75T,5,2,3.685897743816651,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
20,0.4233717399409609,0.25235612430386906,1,2-4.75T,6,2,4.3370341345997,35.17999999999997,301.3452136588619,12.7,0.0383649706486183,2,2,1,1
21,0.163,0.10887725117783564,1,2-4.75T,4,1,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
22,0.25,0.1543887643218412,1,2-4.75T,5,1,3.685897743816651,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
23,0.188,0.1294792106363184,1,2-8R,2,2,2.6580586302820026,35.049999999999976,186.8787630380614,12.7,0.0349078066604171,2,2,1,1
24,0.254,0.18378492392107626,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
25,0.124,0.10196973855095157,1,2-8R,2,1,2.6580586302820026,35.049999999999976,186.8787630380614,12.7,0.0349078066604171,2,2,1,1
26,0.199,0.14447432298577595,1,2-8R,3,1,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
27,0.176,0.12174306329429377,1,2-8T,3,2,2.3558735999261726,35.049999999999976,169.45081375073346,12.7,0.0349078066604171,2,2,1,1
28,0.275,0.17033778316617443,1,2-8T,4,2,3.094966785939449,35.049999999999976,222.84963810990325,12.7,0.0349078066604171,2,2,1,1
29,0.38,0.226092657311811,1,2-8T,5,2,3.941851169120962,35.049999999999976,284.1894143476512,12.7,0.0349078066604171,2,2,1,1
30,0.164,0.09992003630386548,1,2-8T,3,1,2.3558735999261726,35.049999999999976,169.45081375073346,12.7,0.0349078066604171,2,2,1,1
31,0.202,0.13975165563744543,1,2-8T,4,1,3.094966785939449,35.049999999999976,222.84963810990325,12.7,0.0349078066604171,2,2,1,1
32,0.301,0.18541290539615582,1,2-8T,5,1,3.941851169120962,35.049999999999976,284.1894143476512,12.7,0.0349078066604171,2,2,1,1
33,0.305,0.2871015052456428,1,3-S1,3,1,2.202475680010651,41.274999999999984,264.92036985274274,19.05,0.0103594286329902,2,2,1,1
34,0.406,0.2311056739264713,1,3-S2,3,2,0.8026876628081269,44.44999999999998,197.36542245722396,12.700000000000005,0.0087266462599716,1,2,1,1
35,0.255,0.16249194198469405,1,3-S2,3,1,0.8026876628081269,44.44999999999998,197.36542245722396,12.700000000000005,0.0087266462599716,1,2,1,1
36,0.358,0.2915131851506433,1,3-S2,4,1,1.0997431905367974,44.44999999999998,270.80813216176665,12.700000000000005,0.0087266462599716,1,2,1,1
37,0.115,0.153697866362877,2,R17,3,1,2.903560298989625,30.0,208.13647703053488,16.0,0.028519422670886,2,2,1,1
38,0.13,0.2020794586193976,2,R17,4,1,3.629593556735535,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
39,0.15,0.2504319636890327,2,R17,5,1,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,1,1
40,0.185,0.2504319636890327,2,R17,6,1,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
41,0.115,0.18323167835710807,2,R17,3,2,2.903560298989625,30.0,208.13647703053488,16.0,0.028519422670886,2,2,1,1
42,0.13,0.24114426130081504,2,R17,4,2,3.629593556735535,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
43,0.15,0.29915443383609075,2,R17,5,2,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,1,1
44,0.165,0.29915443383609075,2,R17,6,2,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
45,0.125,0.12475808848783418,2,R18,3,1,1.5492389508955433,20.0,191.1342290475247,12.341463414634148,0.0157702964555201,2,2,1,1
46,0.135,0.17149252441885218,2,R18,4,1,1.936449199860702,20.0,239.1887328785413,12.341463414634148,0.0157702964555201,2,2,1,1
47,0.21,0.2183740277250257,2,R18,5,1,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,1,1
48,0.235,0.2183740277250257,2,R18,6,1,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,14,1
49,0.275,0.26536204330533225,2,R18,7,1,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
50,0.125,0.138053433107795,2,R18,3,2,1.5492389508955433,20.0,191.1342290475247,12.341463414634148,0.0157702964555201,2,2,1,1
51,0.125,0.18981273643211413,2,R18,4,2,1.936449199860702,20.0,239.1887328785413,12.341463414634148,0.0157702964555201,2,2,1,1
52,0.185,0.2417610961829284,2,R18,5,2,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,1,1
53,0.168,0.2417610961829284,2,R18,6,2,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,14,1
54,0.2,0.2938551368042555,2,R18,7,2,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
55,0.085,0.09406834001934737,2,R19,1,1,1.2871709202114967,33.0,154.2845604234408,10.0,0.0147078307752331,1,2,1,1
56,0.115,0.15655685667254915,2,R19,2,1,1.716227893615329,33.0,206.02661947878133,10.0,0.0147078307752331,2,2,1,1
57,0.135,0.21901684488807066,2,R19,3,1,2.145284867019161,33.0,257.94261488758053,10.0,0.0147078307752331,2,2,1,1
58,0.2,0.28144900687610896,2,R19,4,1,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,1,1
59,0.215,0.28144900687610896,2,R19,5,1,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
60,0.115,0.18314788223973602,2,R19,2,2,1.716227893615329,33.0,206.02661947878133,10.0,0.0147078307752331,2,2,1,1
61,0.15,0.2563313694312938,2,R19,3,2,2.145284867019161,33.0,257.94261488758053,10.0,0.0147078307752331,2,2,1,1
62,0.2,0.3295538522466435,2,R19,4,2,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,1,1
63,0.225,0.3295538522466435,2,R19,5,2,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
64,0.1,0.15321666249076085,2,R21,3,1,3.235078358649276,19.0,196.24104766651945,21.33333333333333,0.0264772911709954,2,2,1,1
65,0.14,0.20057810520442063,2,R21,4,1,4.043847948311595,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
66,0.2,0.2483177074698878,2,R21,5,1,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
67,0.19,0.2483177074698878,2,R21,6,1,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
68,0.275,0.29648767661523207,2,R21,7,1,5.6613871276362335,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
69,0.15,0.1749028755838835,2,R21,3,2,3.235078358649276,19.0,196.24104766651945,21.33333333333333,0.0264772911709954,2,2,1,1
70,0.185,0.22916583780978678,2,R21,4,2,4.043847948311595,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
71,0.2,0.2839733439685682,2,R21,5,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
72,0.25,0.2839733439685682,2,R21,6,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
73,0.25,0.33940089854851035,2,R21,7,2,5.6613871276362335,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
74,0.16,0.1978037374925678,2,R25,3,1,2.6785655403760407,35.0,194.6850029938567,16.0,0.021795331146856,2,2,1,1
75,0.185,0.25884406025330897,2,R25,4,1,3.348045837814267,35.0,243.86736506324516,16.0,0.021795331146856,2,2,1,1
76,0.25,0.320191145587501,2,R25,5,1,4.017526135252493,35.0,293.2968966637636,16.0,0.021795331146856,2,2,1,1
77,0.25,0.320191145587501,2,R25,6,1,4.017526135252493,35.0,293.2968966637636,16.0,0.021795331146856,2,2,14,1
78,0.275,0.3819056908300202,2,R25,7,1,4.687328608002288,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
79,0.21,0.2846412444312968,2,R25,4,2,3.348045837814267,35.0,243.86736506324516,16.0,0.021795331146856,2,2,1,1
80,0.25,0.35226457114276694,2,R25,5,2,4.017526135252493,35.0,293.2968966637636,16.0,0.021795331146856,2,2,1,1
81,0.25,0.35226457114276694,2,R25,6,2,4.017526135252493,35.0,293.2968966637636,16.0,0.021795331146856,2,2,14,1
82,0.325,0.420366282559297,2,R25,7,2,4.687328608002288,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
83,0.16,0.19818110323663643,2,R26,3,1,2.6991042951079467,35.0,194.7250520952012,16.0,0.021795331146856,2,2,1,1
84,0.185,0.25923913613731464,2,R26,4,1,3.373718046038223,35.0,243.92168385510388,16.0,0.021795331146856,2,2,1,1
85,0.25,0.320606700548674,2,R26,5,1,4.048331796968498,35.0,293.3677161774819,16.0,0.021795331146856,2,2,1,1
86,0.25,0.320606700548674,2,R26,6,1,4.048331796968498,35.0,293.3677161774819,16.0,0.021795331146856,2,2,14,1
87,0.275,0.38234498120056415,2,R26,7,1,4.723270193592196,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
88,0.21,0.2850942174335756,2,R26,4,2,3.373718046038223,35.0,243.92168385510388,16.0,0.021795331146856,2,2,1,1
89,0.25,0.35274614857149755,2,R26,5,2,4.048331796968498,35.0,293.3677161774819,16.0,0.021795331146856,2,2,1,1
90,0.25,0.35274614857149755,2,R26,6,2,4.048331796968498,35.0,293.3677161774819,16.0,0.021795331146856,2,2,14,1
91,0.325,0.42088086629977,2,R26,7,2,4.723270193592196,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
92,0.2,0.246104472563828,2,R29,3,1,2.675580861955439,35.0,242.293823844099,16.0,0.021795331146856,2,2,1,1
93,0.3,0.3068652214316418,2,R29,4,1,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,1,1
94,0.34,0.3068652214316418,2,R29,5,1,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
95,0.165,0.20362245843526797,2,R29,2,2,2.140567675740716,35.0,193.5223701072042,16.0,0.021795331146856,2,2,1,1
96,0.235,0.27012882038851016,2,R29,3,2,2.675580861955439,35.0,242.293823844099,16.0,0.021795331146856,2,2,1,1
97,0.325,0.3369371952260267,2,R29,4,2,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,1,1
98,0.35,0.3369371952260267,2,R29,5,2,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
99,0.3,0.19232155777710086,2,R33,3,1,2.8983766931130246,33.0,194.3976057911665,16.0,0.022155584554242,2,2,1,1
100,0.36,0.250299994723061,2,R33,4,1,3.622796559397469,33.0,243.54623182135555,16.0,0.022155584554242,2,2,1,1
101,0.4,0.3085937337607226,2,R33,5,1,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
102,0.425,0.3085937337607226,2,R33,6,1,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
103,0.25,0.21056458421218519,2,R33,3,2,2.8983766931130246,33.0,194.3976057911665,16.0,0.022155584554242,2,2,1,1
104,0.325,0.27416625685289175,2,R33,4,2,3.622796559397469,33.0,243.54623182135555,16.0,0.022155584554242,2,2,1,1
105,0.375,0.3381798056743508,2,R33,5,2,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
106,0.45,0.3381798056743508,2,R33,6,2,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
107,0.5,0.40268032284358274,2,R33,7,2,5.071984905953981,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
108,0.16,0.21300668887130478,2,R49,3,2,3.052635925003488,33.0,194.66551485393805,16.0,0.022155584554242,2,2,1,1
109,0.215,0.27676575451157903,2,R49,4,2,3.815611322183816,33.0,243.9101716860852,16.0,0.022155584554242,2,2,1,1
110,0.4,0.34096127511385,2,R49,5,2,4.578586719364144,33.0,293.4376437333642,16.0,0.022155584554242,2,2,1,1
111,0.4,0.34096127511385,2,R49,6,2,4.578586719364144,33.0,293.4376437333642,16.0,0.022155584554242,2,2,14,1
112,0.425,0.40567303467461396,2,R49,7,2,5.34192928468556,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
113,0.115,0.19447511831154882,2,R49,3,1,3.052635925003488,33.0,194.66551485393805,16.0,0.022155584554242,2,2,1,1
114,0.175,0.25256683850153655,2,R49,4,1,3.815611322183816,33.0,243.9101716860852,16.0,0.022155584554242,2,2,1,1
115,0.335,0.31099218315760413,2,R49,5,1,4.578586719364144,33.0,293.4376437333642,16.0,0.022155584554242,2,2,1,1
116,0.335,0.31099218315760413,2,R49,6,1,4.578586719364144,33.0,293.4376437333642,16.0,0.022155584554242,2,2,14,1
117,0.375,0.3698165895618933,2,R49,7,1,5.34192928468556,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
118,0.13,0.16158870555713226,2,R5,3,1,1.982159416330004,30.0,191.17105685620453,16.0,0.022718862127655,2,2,1,1
119,0.13,0.21390823874322262,2,R5,4,1,2.4775800642893198,30.0,239.2816185265148,16.0,0.022718862127655,2,2,1,1
120,0.15,0.26639044344835155,2,R5,5,1,2.9730007122486346,30.0,287.54176521167733,16.0,0.022718862127655,2,2,1,1
121,0.17,0.26639044344835155,2,R5,6,1,2.9730007122486346,30.0,287.54176521167733,16.0,0.022718862127655,2,2,14,1
122,0.2,0.319072596618625,2,R5,7,1,3.4686597724543216,30.0,335.98577502361906,16.0,0.022718862127655,2,2,1,1
123,0.167,0.16925540987614324,2,R58,3,1,2.9774474008145098,28.0,192.26621595547928,16.0,0.0231105666470973,2,2,1,1
124,0.217,0.22605496530032865,2,R58,4,1,3.825020971242733,28.0,247.6243131929624,16.0,0.0231105666470973,2,2,1,1
125,0.207,0.22605496530032865,2,R58,5,1,3.825020971242733,28.0,247.6243131929624,16.0,0.0231105666470973,2,2,14,1
126,0.29,0.26874913732462963,2,R58,6,1,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
127,0.35,0.26874913732462963,2,R58,7,1,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
128,0.17,0.24477277198699346,2,R58,5,2,3.825020971242733,28.0,247.6243131929624,16.0,0.0231105666470973,2,2,14,1
129,0.269,0.2911021167098129,2,R58,6,2,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
130,0.297,0.2911021167098129,2,R58,7,2,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
131,0.25,0.2379607142676408,2,R61,3,1,3.91361185546792,29.0,199.3525027996041,26.0,0.0240784198846564,2,2,1,1
132,0.325,0.30700034263502746,2,R61,4,1,4.892722013381786,29.0,250.0708714381683,26.0,0.0240784198846564,2,2,1,1
133,0.3,0.30700034263502746,2,R61,5,1,4.892722013381786,29.0,250.0708714381683,26.0,0.0240784198846564,2,2,14,1
134,0.315,0.3765951539875743,2,R61,6,1,5.871478574272209,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
135,0.24,0.262365475255935,2,R61,3,2,3.91361185546792,29.0,199.3525027996041,26.0,0.0240784198846564,2,2,1,1
136,0.315,0.3387306220539123,2,R61,4,2,4.892722013381786,29.0,250.0708714381683,26.0,0.0240784198846564,2,2,1,1
137,0.325,0.3387306220539123,2,R61,5,2,4.892722013381786,29.0,250.0708714381683,26.0,0.0240784198846564,2,2,14,1
138,0.35,0.41584372025919836,2,R61,6,2,5.871478574272209,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
139,0.225,0.20887959025136252,2,R66,3,1,3.012618252904523,25.5,198.67821080320624,26.0,0.0262673671468979,2,2,1,1
140,0.325,0.2712175671671477,2,R66,4,1,3.765772816130653,25.5,249.07409666951307,26.0,0.0262673671468979,2,2,1,1
141,0.325,0.2712175671671477,2,R66,5,1,3.765772816130653,25.5,249.07409666951307,26.0,0.0262673671468979,2,2,14,1
142,0.365,0.3339988675538966,2,R66,6,1,4.518927379356784,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
143,0.2,0.22810068599327027,2,R66,3,2,3.012618252904523,25.5,198.67821080320624,26.0,0.0262673671468979,2,2,1,1
144,0.325,0.29634183549766796,2,R66,4,2,3.765772816130653,25.5,249.07409666951307,26.0,0.0262673671468979,2,2,1,1
145,0.325,0.29634183549766796,2,R66,5,2,3.765772816130653,25.5,249.07409666951307,26.0,0.0262673671468979,2,2,14,1
146,0.4,0.3651594196060451,2,R66,6,2,4.518927379356784,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
147,0.225,0.21966498582350605,2,R67,3,1,3.0697198270534534,27.5,198.26311602972385,26.0,0.0249702132137178,2,2,1,1
148,0.325,0.2854390331773935,2,R67,4,1,3.837080552426942,27.5,248.54997711951967,26.0,0.0249702132137178,2,2,1,1
149,0.325,0.2854390331773935,2,R67,5,1,3.837080552426942,27.5,248.54997711951967,26.0,0.0249702132137178,2,2,14,1
150,0.365,0.3516813411619316,2,R67,6,1,4.60444127780043,27.5,299.19484198488755,26.0,0.0249702132137178,2,2,1,1
151,0.2,0.24101394486933103,2,R67,3,2,3.0697198270534534,27.5,198.26311602972385,26.0,0.0249702132137178,2,2,1,1
152,0.325,0.31336617971374325,2,R67,4,2,3.837080552426942,27.5,248.54997711951967,26.0,0.0249702132137178,2,2,1,1
153,0.325,0.31336617971374325,2,R67,5,2,3.837080552426942,27.5,248.54997711951967,26.0,0.0249702132137178,2,2,14,1
154,0.4,0.3863351707829801,2,R67,6,2,4.60444127780043,27.5,299.19484198488755,26.0,0.0249702132137178,2,2,1,1
155,0.23,0.17206159152301861,2,R68,4,1,4.305223615786287,28.0,198.4499757783498,26.0,0.0369985476276428,2,2,1,1
156,0.275,0.2217561048919316,2,R68,5,1,5.381595896908556,28.0,249.3064027460628,26.0,0.0369985476276428,2,2,1,1
157,0.315,0.2217561048919316,2,R68,6,1,5.381595896908556,28.0,249.3064027460628,26.0,0.0369985476276428,2,2,14,1
158,0.4,0.2721019081015964,2,R68,7,1,6.457702669328033,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
159,0.22,0.19058348775003858,2,R68,4,2,4.305223615786287,28.0,198.4499757783498,26.0,0.0369985476276428,2,2,1,1
160,0.283,0.2459094070067256,2,R68,5,2,5.381595896908556,28.0,249.3064027460628,26.0,0.0369985476276428,2,2,1,1
161,0.3,0.2459094070067256,2,R68,6,2,5.381595896908556,28.0,249.3064027460628,26.0,0.0369985476276428,2,2,14,1
162,0.357,0.30212552241889956,2,R68,7,2,6.457702669328033,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
163,0.175,0.12054881364577644,3,T12,5,1,5.032579050548788,25.0,161.38924373836193,32.0,0.0560451372347726,2,2,1,1
164,0.24,0.14709030683518978,3,T12,6,1,6.039022219505968,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,1,1
165,0.26,0.14709030683518978,3,T12,7,1,6.039022219505968,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,1,1
166,0.215,0.14709030683518978,3,T12,8,1,6.039022219505968,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,14,1
167,0.275,0.17370269011860492,3,T12,9,1,7.045465388463148,25.0,226.49394301567477,32.0,0.0560451372347726,2,2,1,1
168,0.315,0.2003901458997758,3,T12,10,1,8.051908557420328,25.0,259.18165835094084,32.0,0.0560451372347726,2,2,1,1
169,0.35,0.22716707072457565,3,T12,11,1,9.058714932140395,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
170,0.185,0.13200499967825755,3,T12,5,2,5.032579050548788,25.0,161.38924373836193,32.0,0.0560451372347726,2,2,1,1
171,0.21,0.16112400372781086,3,T12,6,2,6.039022219505968,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,1,1
172,0.235,0.16112400372781086,3,T12,7,2,6.039022219505968,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,1,1
173,0.225,0.16112400372781086,3,T12,8,2,6.039022219505968,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,14,1
174,0.265,0.1903440436052862,3,T12,9,2,7.045465388463148,25.0,226.49394301567477,32.0,0.0560451372347726,2,2,1,1
175,0.275,0.21967181009023481,3,T12,10,2,8.051908557420328,25.0,259.18165835094084,32.0,0.0560451372347726,2,2,1,1
176,0.365,0.2491256061493912,3,T12,11,2,9.058714932140395,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
177,0.15,0.16063482729248355,3,T21,3,1,3.2577773043929024,35.0,194.6055440056875,16.0,0.032692996720284,2,2,1,1
178,0.175,0.20681399524568087,3,T21,4,1,4.0724125904738,35.0,243.5206342110617,16.0,0.032692996720284,2,2,1,1
179,0.225,0.2530987667029031,3,T21,5,1,4.887047876554699,35.0,292.5475844856909,16.0,0.032692996720284,2,2,1,1
180,0.25,0.2530987667029031,3,T21,6,1,4.887047876554699,35.0,292.5475844856909,16.0,0.032692996720284,2,2,14,1
181,0.275,0.29947342783459796,3,T21,7,1,5.701301242670252,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
182,0.125,0.1752285471250846,3,T21,3,2,3.2577773043929024,35.0,194.6055440056875,16.0,0.032692996720284,2,2,1,1
183,0.15,0.22564546977429073,3,T21,4,2,4.0724125904738,35.0,243.5206342110617,16.0,0.032692996720284,2,2,1,1
184,0.2,0.2761982530927228,3,T21,5,2,4.887047876554699,35.0,292.5475844856909,16.0,0.032692996720284,2,2,1,1
185,0.225,0.2761982530927228,3,T21,6,2,4.887047876554699,35.0,292.5475844856909,16.0,0.032692996720284,2,2,14,1
186,0.25,0.3268708572439077,3,T21,7,2,5.701301242670252,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
187,0.1,0.1036295754146742,3,T27,2,1,3.97800813620746,34.0,152.8948062856266,16.0,0.0467585883324992,2,2,1,1
188,0.115,0.143585189416222,3,T27,3,1,5.304122586939465,34.0,204.28071081889937,16.0,0.0467585883324992,2,2,1,1
189,0.165,0.18348200049252955,3,T27,4,1,6.629901821682913,34.0,255.88711336937436,16.0,0.0467585883324992,2,2,1,1
