,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,17,-28.49128912324454,-28.49128912324454,15.208,37.572,64.734,93.27341075514141,93.27341075514141,49.525999999999996,53.2140113325482,MC 2010,24,-104.56938746222843,-104.56938746222843,-44.233,-15.918,28.22,86.81163872297788,86.81163872297788,72.453,51.16995499818142,MC 2010,4,-114.06894096959093,-114.06894096959093,-89.852,-55.311,-24.513,-11.524052393908107,-11.524052393908107,65.339,71.87541110005303
1,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,17,-65.573659953497,-65.573659953497,-23.522,-5.048,12.167,52.06661265951422,52.06661265951422,35.689,30.459805845863716,Noakowski,24,-147.81594436094886,-147.81594436094886,-101.204,-40.574,-17.662,10.99758507420006,10.99758507420006,83.542,70.99162696327052,Noakowski,4,-173.51712900919102,-173.51712900919102,-146.389,-122.312,-99.944,-77.94344603932097,-77.94344603932097,46.44500000000001,128.99198415133827
2,Gergely + Lutz,0,0,0,0,0,0,0,0,0,0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,17,-77.08416760994146,-77.08416760994146,-25.316,13.087,82.279,159.24783228114214,159.24783228114214,107.595,69.34990012059525,SMTCM,24,-141.85302554366842,-133.1875,-73.894,-57.917,-34.365,8.860448078183794,8.860448078183794,39.529,64.94702269685739,SMTCM,4,-203.55294852385393,-203.55294852385393,-166.866,-118.405,-59.887,6.976212764844206,6.976212764844206,106.97900000000001,134.3014385728439
