,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,14,-28.49128912324454,-28.49128912324454,10.971,19.474,38.011,70.45269538575488,70.45269538575488,27.040000000000003,36.168704961707405,MC 2010,23,-104.56938746222843,-104.56938746222843,-36.702,-6.067,20.088,69.82972674367522,69.82972674367522,56.79,47.89596135126171,MC 2010,5,-114.06894096959093,-114.06894096959093,-81.78,-36.005,-23.505,-11.524052393908107,-11.524052393908107,58.275000000000006,65.85020702770582
1,MC 2020,0,0,0,0,0,0,0,0,0,0,MC 2020,14,-34.5580451974634,-34.5580451974634,-22.581,7.659,29.037,53.18017978661135,53.18017978661135,51.617999999999995,27.866276219552283,MC 2020,23,-135.04053940697366,-135.04053940697366,-77.449,-51.434,-6.192,100.32362049785763,100.32362049785763,71.257,70.20493727019361,MC 2020,5,-142.8357038716938,-142.8357038716938,-116.139,-109.3,-88.813,-62.661402654325514,-62.661402654325514,27.325999999999993,107.37861184901767
2,Oh + Kang,0,0,0,0,0,0,0,0,0,0,Oh + Kang,14,-44.88106404961627,-44.88106404961627,-18.894,-3.333,35.958,118.23599999999999,145.63806855380437,54.852,58.42363573013091,Oh + Kang,23,-135.50157577409087,-135.50157577409087,-86.286,-60.05,-10.871,102.25150000000001,115.12851066001258,75.415,76.88030369255405,Oh + Kang,5,-129.0376077870957,-129.0376077870957,-119.993,-106.464,-79.537,-77.94450773037005,-77.94450773037005,40.45599999999999,104.67586392797074
3,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,14,-65.573659953497,-64.628,-19.553,3.089,10.497,20.3382298078362,20.3382298078362,30.05,24.645328105242754,Noakowski,23,-147.81594436094886,-147.81594436094886,-101.887,-59.258,-26.951,10.99758507420006,10.99758507420006,74.936,75.78141091034092,Noakowski,5,-173.51712900919102,-173.51712900919102,-145.998,-137.346,-107.278,-93.03045248205947,-93.03045248205947,38.719999999999985,134.49964062009582
4,JSCE,0,0,0,0,0,0,0,0,0,0,JSCE,14,-13.689368064951708,-13.689368064951708,11.212,34.016,50.632,109.762,138.19937624796125,39.42,51.14402357972315,JSCE,23,-76.47617419284109,-76.47617419284109,-25.594,-12.061,33.089,121.1135,155.83250185247562,58.683,48.9605615969552,JSCE,5,-98.85372675674049,-98.85372675674049,-86.552,-35.719,-14.703,-6.646988830312068,-6.646988830312068,71.849,61.318070556840986
5,Gergely + Lutz,0,0,0,0,0,0,0,0,0,0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,14,-77.08416760994146,-77.08416760994146,-23.503,18.281,100.08,125.67007557818022,125.67007557818022,123.583,73.81296914298117,SMTCM,23,-165.27701849369288,-165.27701849369288,-109.513,-73.594,-33.473,80.587,116.28084437034693,76.04,95.776357152449,SMTCM,5,-203.55294852385393,-203.55294852385393,-195.837,-154.636,-153.921,-91.047,-82.17435948329512,41.916,163.7939638928161
