,meas_smax,smax_095,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
1,258.1826581010427,222.08794875278448,1,2-16R,4,2,2.2407371150845345,35.049999999999976,258.4822451666737,12.7,0.0174539033302085,2,2,1,1
3,258.1826581010427,222.08794875278448,1,2-16R,4,1,2.2407371150845345,35.049999999999976,258.4822451666737,12.7,0.0174539033302085,2,2,1,1
5,231.3220122768291,231.5931384253271,1,2-16T,4,2,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
8,231.3220122768291,231.5931384253271,1,2-16T,4,1,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
11,312.07666388801704,229.90230440472192,1,2-24R,3,2,2.109796622656963,35.049999999999976,328.63244857749464,12.7,0.0153020522347034,2,2,1,1
13,312.07666388801704,229.90230440472192,1,2-24R,3,1,2.109796622656963,35.049999999999976,328.63244857749464,12.7,0.0153020522347034,2,2,1,1
15,282.0232429555187,175.9755781084732,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
17,282.0232429555187,175.9755781084732,1,2-32R1,3,1,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
18,169.2200684211645,143.90426914134525,1,2-4.75T,4,2,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
21,169.2200684211645,143.90426914134525,1,2-4.75T,4,1,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
24,218.7776356012505,162.26604702804465,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
26,218.7776356012505,162.26604702804465,1,2-8R,3,1,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
28,219.43005711440247,145.83593658856822,1,2-8T,4,2,3.094966785939449,35.049999999999976,222.84963810990325,12.7,0.0349078066604171,2,2,1,1
31,219.43005711440247,145.83593658856822,1,2-8T,4,1,3.094966785939449,35.049999999999976,222.84963810990325,12.7,0.0349078066604171,2,2,1,1
33,308.3110777492654,315.2872905141096,1,3-S1,3,1,2.202475680010651,41.274999999999984,264.92036985274274,19.05,0.0103594286329902,2,2,1,1
40,160.0,183.47424070456117,2,R17,6,1,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
44,160.0,183.47424070456117,2,R17,6,2,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
49,210.0,175.81106742875465,2,R18,7,1,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
54,220.0,175.81106742875465,2,R18,7,2,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
59,180.0,177.41636073251587,2,R19,5,1,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
63,170.0,177.41636073251587,2,R19,5,2,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
68,170.0,183.08688808901866,2,R21,7,1,5.6613871276362335,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
73,170.0,183.08688808901866,2,R21,7,2,5.6613871276362335,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
78,220.0,156.4591088108072,2,R25,7,1,4.687328608002288,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
82,220.0,156.4591088108072,2,R25,7,2,4.687328608002288,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
87,220.0,155.85407030946772,2,R26,7,1,4.723270193592196,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
91,220.0,155.85407030946772,2,R26,7,2,4.723270193592196,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
94,330.0,175.36362052493425,2,R29,5,1,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
98,330.0,175.36362052493425,2,R29,5,2,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
102,350.0,146.44705147614607,2,R33,6,1,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
107,350.0,146.44705147614607,2,R33,7,2,5.071984905953981,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
112,180.0,142.65160809945556,2,R49,7,2,5.34192928468556,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
117,180.0,142.65160809945556,2,R49,7,1,5.34192928468556,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
126,190.0,134.50392109371612,2,R58,6,1,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
130,220.0,134.50392109371612,2,R58,7,2,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
134,210.0,179.14824982534742,2,R61,6,1,5.871478574272209,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
138,210.0,179.14824982534742,2,R61,6,2,5.871478574272209,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
142,280.0,194.98213298440922,2,R66,6,1,4.518927379356784,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
146,280.0,194.98213298440922,2,R66,6,2,4.518927379356784,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
150,280.0,198.29806715548753,2,R67,6,1,4.60444127780043,27.5,299.19484198488755,26.0,0.0249702132137178,2,2,1,1
154,280.0,198.29806715548753,2,R67,6,2,4.60444127780043,27.5,299.19484198488755,26.0,0.0249702132137178,2,2,1,1
158,300.0,158.14697445633158,2,R68,7,1,6.457702669328033,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
162,300.0,158.14697445633158,2,R68,7,2,6.457702669328033,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
169,190.0,129.92709184073556,3,T12,11,1,9.058714932140395,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
176,180.0,129.92709184073556,3,T12,11,2,9.058714932140395,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
181,200.0,122.91583239005854,3,T21,7,1,5.701301242670252,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
186,200.0,122.91583239005854,3,T21,7,2,5.701301242670252,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
191,210.0,109.77552164770046,3,T27,6,1,7.956016272414919,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
196,210.0,109.77552164770046,3,T27,6,2,7.956016272414919,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
200,170.0,151.9364852161507,3,T7,6,1,9.785344513866916,40.0,303.275932890277,32.0,0.0410330469040299,2,2,14,1
204,170.0,151.9364852161507,3,T7,6,2,9.785344513866916,40.0,303.275932890277,32.0,0.0410330469040299,2,2,14,1
208,300.0,143.86307468557226,4,PL 15/210,4,2,2.248269440915533,15.0,341.58162732875564,10.0,0.0112199737628206,2,2,1,1
211,280.0,114.72298150630712,4,PL 15/221,3,2,2.3340639589944043,16.0,292.92455816193325,8.0,0.0110647288428319,2,2,14,1
214,250.0,137.02256460966768,4,PL 15/239,5,2,1.3936780703573353,16.5,243.8584970581364,8.0,0.0109732848028085,2,2,14,1
219,240.0,118.25384575741214,4,PL 15/255,7,2,5.119245400764625,16.0,327.3509133740737,12.0,0.0122399713776225,2,2,1,1
223,320.0,166.07946148195384,4,PL 30/204,5,2,2.9672875820756213,16.0,291.26478872263954,16.0,0.0161729351536154,2,2,1,1
227,300.0,158.51411127618255,4,PL 30/240,5,2,3.768512058751264,16.600000000000023,309.1558711714947,16.0,0.0147798357686636,2,2,1,1
232,320.0,124.16347941581651,4,PL 30/256,7,2,5.972756862667964,17.0,328.204281362172,16.0,0.0159572960182338,2,2,1,1
238,203.0,207.60566573374695,6,B3,7,1,2.2969546326927364,35.0,276.37030428997315,16.0,0.021795331146856,2,2,10000,1
