,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,42,-114.069,-110.0455,-27.742,0.35,27.127,70.453,70.453,54.869,46.995
1,MC 2020,42,-142.836,-142.836,-73.293,-32.015,6.144,100.324,100.324,79.437,65.807
2,Oh + Kang,42,-135.502,-135.502,-79.139,-45.529,0.089,118.93099999999998,145.638,79.228,75.359
3,Noakowski,42,-173.517,-173.517,-98.648,-40.17,1.667,20.338,20.338,100.315,74.168
4,JSCE,42,-98.854,-98.2375,-17.95,-0.332,35.575,115.8625,155.833,53.525,51.305
5,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SMTCM,42,-203.553,-203.553,-104.592,-53.292,20.877,125.67,125.67,125.469,100.167
