,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,MC 2010,54,-0.006935106249671169,-0.006935106249671169,0.024,0.043,0.073,0.1465,0.19246523279054617,0.048999999999999995,0.060867918656618294,MC 2010,674,-0.10838879122008338,-0.1015,-0.034,-0.014,0.011,0.0785,0.13740546511394636,0.045,0.0383103345524811,MC 2010,277,-0.1402310634855023,-0.1385,-0.041,0.0,0.024,0.11979448828797501,0.11979448828797501,0.065,0.045268069103040716,MC 2010,74,-0.2624914894041668,-0.15100000000000002,-0.076,-0.052,-0.026,0.049000000000000016,0.05278451928089645,0.05,0.07091072540639644,MC 2010,3,-0.25351447389516746,-0.25351447389516746,-0.234,-0.214,-0.213,-0.211308679707499,-0.211308679707499,0.02100000000000002,0.2271769556355565
1,MC 2020,54,-0.0004654593502936982,-0.0004654593502936982,0.029,0.046,0.078,0.14994715970207434,0.14994715970207434,0.049,0.06236617671845776,MC 2020,674,-0.11657967298228715,-0.099,-0.03,-0.011,0.016,0.085,0.12203371128143037,0.046,0.0371542068329342,MC 2020,277,-0.13466352345457328,-0.1215,-0.033,0.004,0.026,0.10630587771180852,0.10630587771180852,0.059,0.04370466638430329,MC 2020,74,-0.2699869676533523,-0.13149999999999998,-0.073,-0.058,-0.034,0.014089947478543419,0.014089947478543419,0.03899999999999999,0.07143875929402473,MC 2020,3,-0.23611354440553572,-0.23611354440553572,-0.232,-0.229,-0.227,-0.2251484176413613,-0.2251484176413613,0.0050000000000000044,0.23008702902605319
2,Noakowski,54,-0.023138579411118604,-0.023138579411118604,0.018,0.03,0.054,0.10800000000000001,0.12054238904877622,0.036000000000000004,0.04649290808635136,Noakowski,674,-0.11605741861250844,-0.11605741861250844,-0.056,-0.031,-0.013,0.051500000000000004,0.12376699274729602,0.043000000000000003,0.049805160884223924,Noakowski,277,-0.16919430138164412,-0.15850000000000003,-0.07,-0.052,-0.011,0.07750000000000003,0.13987108984229182,0.05900000000000001,0.06493374253149277,Noakowski,74,-0.29483115214368877,-0.1965,-0.102,-0.072,-0.039,0.005452165321563451,0.005452165321563451,0.063,0.0983537817593143,Noakowski,3,-0.29303066856247373,-0.29303066856247373,-0.255,-0.216,-0.192,-0.16803659150126266,-0.16803659150126266,0.063,0.2316109067564464
3,Menn,54,-0.011770810496064876,-0.011770810496064876,0.024,0.041,0.082,0.1672912126580441,0.1672912126580441,0.058,0.06894648380554469,Menn,674,-0.08822756781090196,-0.08822756781090196,-0.03,-0.007,0.021,0.09750000000000002,0.17775348032217214,0.051000000000000004,0.04622584532754994,Menn,277,-0.1651961134847282,-0.1495,-0.055,-0.017,0.008,0.10250000000000001,0.21844908487928855,0.063,0.054799957378143895,Menn,74,-0.2556858797560385,-0.2556858797560385,-0.096,-0.066,0.021,0.1478033460271963,0.1478033460271963,0.117,0.09495944183778904,Menn,3,-0.2881061741109676,-0.2881061741109676,-0.207,-0.125,-0.12,-0.11462060794915002,-0.11462060794915002,0.087,0.19302870211380016
4,SMTCM,54,-0.0404977846252553,-0.0404977846252553,0.033,0.062,0.097,0.18171990771557575,0.18171990771557575,0.064,0.08505778969875741,SMTCM,674,-0.11591659272245512,-0.07750000000000001,-0.001,0.023,0.05,0.1265,0.19797930147678316,0.051000000000000004,0.04962677492604003,SMTCM,277,-0.17195376110698907,-0.108,-0.015,0.018,0.047,0.13943250628193546,0.13943250628193546,0.062,0.05238814362223601,SMTCM,74,-0.2900615180141899,-0.17250000000000001,-0.084,-0.058,-0.025,0.051432506281935464,0.051432506281935464,0.059000000000000004,0.08009982910135077,SMTCM,3,-0.3800615180141899,-0.3800615180141899,-0.335,-0.29,-0.269,-0.24770305047748722,-0.24770305047748722,0.066,0.31097489333258566
