,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,21,-114.069,-114.069,-32.607,-10.43,37.695,88.055,88.055,70.302,59.642
1,Noakowski,21,-173.517,-173.517,-75.085,-23.522,10.998,52.067,52.067,86.083,71.864
2,Menn,21,-38.142,-38.142,41.153,61.245,131.508,208.555,208.555,90.355,104.215
3,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SMTCM,21,-203.553,-185.3935,-60.073,-30.852,23.474,148.7945,159.248,83.547,85.038
