,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,207,-0.183,-0.1385,-0.014,0.025,0.069,0.1935,0.253,0.083,0.08
1,MC 2020,207,-0.235,-0.198,-0.066,-0.027,0.022,0.154,0.304,0.088,0.089
2,Oh + Kang,207,-0.233,-0.128,-0.023,0.018,0.047,0.15200000000000002,0.266,0.07,0.073
3,Noakowski,207,-0.277,-0.17149999999999999,-0.044,0.006,0.041,0.1685,0.169,0.085,0.078
4,JSCE,207,-0.179,-0.0785,0.046,0.093,0.129,0.2535,0.337,0.083,0.122
5,Gergely + Lutz,207,-0.239,-0.239,-0.067,-0.007,0.048,0.195,0.195,0.115,0.078
6,SMTCM,207,-0.262,-0.262,-0.098,-0.01,0.062,0.164,0.164,0.16,0.096
