,meas_wmax,wmax_001b,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
0,0.228,0.13771283662202669,1,2-16R,3,2,1.7209776510422774,35.049999999999976,198.0834810983904,12.7,0.0174539033302085,2,2,1,1
1,0.303,0.20092597344970345,1,2-16R,4,2,2.2407371150845345,35.049999999999976,258.4822451666737,12.7,0.0174539033302085,2,2,1,1
2,0.303,0.1493825899092162,1,2-16T,3,2,1.5230735027274478,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
3,0.344,0.22112120543680613,1,2-16T,4,2,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
4,0.446,0.2852171991171265,1,2-16T,5,2,2.405287983054968,35.049999999999976,340.32586687715127,12.7,0.0174539033302085,2,2,1,1
5,0.252,0.1544923902379788,1,2-24R,2,2,1.2711711495919569,35.049999999999976,197.3080003455484,12.7,0.0153020522347034,1,2,1,1
6,0.391,0.30692264940759895,1,2-24R,3,2,2.109796622656963,35.049999999999976,328.63244857749464,12.7,0.0153020522347034,2,2,1,1
7,0.148,0.09791063779331588,1,2-32R1,2,2,1.6713671977421114,35.00000000000002,157.3675700083816,12.7,0.0249525718711917,2,2,1,1
8,0.251,0.20503485952070571,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
9,0.279,0.12550472769425902,1,2-4.75T,4,2,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
10,0.392,0.17817256520167252,1,2-4.75T,5,2,3.685897743816651,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
11,0.4233717399409609,0.21509166265717514,1,2-4.75T,6,2,4.3370341345997,35.17999999999997,301.3452136588619,12.7,0.0383649706486183,2,2,1,1
12,0.188,0.11875672952794263,1,2-8R,2,2,2.6580586302820026,35.049999999999976,186.8787630380614,12.7,0.0349078066604171,2,2,1,1
13,0.254,0.1686769795614753,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
14,0.176,0.11177826741021674,1,2-8T,3,2,2.3558735999261726,35.049999999999976,169.45081375073346,12.7,0.0349078066604171,2,2,1,1
15,0.275,0.15653678208877694,1,2-8T,4,2,3.094966785939449,35.049999999999976,222.84963810990325,12.7,0.0349078066604171,2,2,1,1
16,0.38,0.20789455502771942,1,2-8T,5,2,3.941851169120962,35.049999999999976,284.1894143476512,12.7,0.0349078066604171,2,2,1,1
17,0.406,0.2064370484301928,1,3-S2,3,2,0.8026876628081269,44.44999999999998,197.36542245722396,12.700000000000005,0.0087266462599716,1,2,1,1
18,0.115,0.14790651837976862,2,R17,3,2,2.903560298989625,30.0,208.13647703053488,16.0,0.028519422670886,2,2,1,1
19,0.13,0.19481896580603364,2,R17,4,2,3.629593556735535,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
20,0.15,0.2418389140095563,2,R17,5,2,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,1,1
21,0.165,0.2418389140095563,2,R17,6,2,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
22,0.125,0.41226710905762165,2,R18,3,2,1.5492389508955433,20.0,191.1342290475247,12.341463414634148,0.0157702964555201,2,2,1,1
23,0.125,0.5659362641315451,2,R18,4,2,1.936449199860702,20.0,239.1887328785413,12.341463414634148,0.0157702964555201,2,2,1,1
24,0.185,0.7193631667927382,2,R18,5,2,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,1,1
25,0.168,0.7193631667927382,2,R18,6,2,2.323858426343315,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,14,1
26,0.2,0.872377510288926,2,R18,7,2,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
27,0.115,0.1419820160573793,2,R19,2,2,1.716227893615329,33.0,206.02661947878133,10.0,0.0147078307752331,2,2,1,1
28,0.15,0.19891305715031912,2,R19,3,2,2.145284867019161,33.0,257.94261488758053,10.0,0.0147078307752331,2,2,1,1
29,0.2,0.2558961504727622,2,R19,4,2,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,1,1
30,0.225,0.2558961504727622,2,R19,5,2,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
31,0.15,0.1268270355898688,2,R21,3,2,3.235078358649276,19.0,196.24104766651945,21.33333333333333,0.0264772911709954,2,2,1,1
32,0.185,0.16611966898483124,2,R21,4,2,4.043847948311595,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
33,0.2,0.20572603616370316,2,R21,5,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
34,0.25,0.20572603616370316,2,R21,6,2,4.852617537973914,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
35,0.25,0.24568945006808518,2,R21,7,2,5.6613871276362335,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
36,0.21,0.23751430314107314,2,R25,4,2,3.348045837814267,35.0,243.86736506324516,16.0,0.021795331146856,2,2,1,1
37,0.25,0.2938814849990761,2,R25,5,2,4.017526135252493,35.0,293.2968966637636,16.0,0.021795331146856,2,2,1,1
38,0.25,0.2938814849990761,2,R25,6,2,4.017526135252493,35.0,293.2968966637636,16.0,0.021795331146856,2,2,14,1
39,0.325,0.3505862978849489,2,R25,7,2,4.687328608002288,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
40,0.21,0.23787915548521316,2,R26,4,2,3.373718046038223,35.0,243.92168385510388,16.0,0.021795331146856,2,2,1,1
41,0.25,0.2942651540133267,2,R26,5,2,4.048331796968498,35.0,293.3677161774819,16.0,0.021795331146856,2,2,1,1
42,0.25,0.2942651540133267,2,R26,6,2,4.048331796968498,35.0,293.3677161774819,16.0,0.021795331146856,2,2,14,1
43,0.325,0.35099177556588995,2,R26,7,2,4.723270193592196,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
44,0.165,0.17013464783720902,2,R29,2,2,2.140567675740716,35.0,193.5223701072042,16.0,0.021795331146856,2,2,1,1
45,0.235,0.2257513877344143,2,R29,3,2,2.675580861955439,35.0,242.293823844099,16.0,0.021795331146856,2,2,1,1
46,0.325,0.2815798295031322,2,R29,4,2,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,1,1
47,0.35,0.2815798295031322,2,R29,5,2,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
48,0.25,0.17595246276177776,2,R33,3,2,2.8983766931130246,33.0,194.3976057911665,16.0,0.022155584554242,2,2,1,1
49,0.325,0.22908158886258445,2,R33,4,2,3.622796559397469,33.0,243.54623182135555,16.0,0.022155584554242,2,2,1,1
50,0.375,0.2824996452187111,2,R33,5,2,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
51,0.45,0.2824996452187111,2,R33,6,2,4.347216425681912,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
52,0.5,0.33626337706416254,2,R33,7,2,5.071984905953981,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
53,0.16,0.17793716160355308,2,R49,3,2,3.052635925003488,33.0,194.66551485393805,16.0,0.022155584554242,2,2,1,1
54,0.215,0.23117009594883964,2,R49,4,2,3.815611322183816,33.0,243.9101716860852,16.0,0.022155584554242,2,2,1,1
