,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,MC 2010,3,0.002406970411336376,0.002406970411336376,0.028,0.053,0.09,0.12762165004797263,0.12762165004797263,0.062,0.07984378964407897,MC 2010,33,-0.12177293574872575,-0.11750000000000002,-0.008,0.007,0.065,0.16884299078717938,0.16884299078717938,0.07300000000000001,0.0784577447785381,MC 2010,28,-0.1490296317117386,-0.09050000000000001,-0.035,-0.02,0.002,0.04560700435286549,0.04560700435286549,0.037000000000000005,0.04916744847337593,MC 2010,18,-0.13362496397280266,-0.13362496397280266,-0.093,-0.04,-0.024,0.061595153987574314,0.061595153987574314,0.069,0.07305158303985203,MC 2010,2,-0.13692724405931983,-0.13692724405931983,-0.132,-0.127,-0.122,-0.11640626623927741,-0.11640626623927741,0.010000000000000009,0.12708164498748448
1,Noakowski,3,-0.0035707063836530606,-0.0035707063836530606,0.029,0.061,0.097,0.13205141996826122,0.13205141996826122,0.068,0.0840405761297579,Noakowski,33,-0.11279756264574328,-0.11279756264574328,-0.021,0.021,0.066,0.16727275393498167,0.16727275393498167,0.08700000000000001,0.07232597742353256,Noakowski,28,-0.13902847211312586,-0.13902847211312586,-0.058,-0.031,0.018,0.028306164372337572,0.028306164372337572,0.076,0.05633347022520908,Noakowski,18,-0.1737681075046353,-0.1737681075046353,-0.075,-0.06,-0.008,0.033058450895025016,0.033058450895025016,0.067,0.07252258011159549,Noakowski,2,-0.1838519596223797,-0.1838519596223797,-0.178,-0.173,-0.167,-0.1619836010957139,-0.1619836010957139,0.010999999999999982,0.17326313814675715
2,Menn,3,0.058085157857441616,0.058085157857441616,0.074,0.089,0.167,0.2458174803425792,0.2458174803425792,0.09300000000000001,0.15462002331603072,Menn,33,-0.07227494908339871,-0.043500000000000004,0.057,0.101,0.124,0.2245,0.32906100139268835,0.067,0.14282736582446168,Menn,28,-0.09175272245387947,-0.09175272245387947,0.031,0.051,0.113,0.13506674471578003,0.13506674471578003,0.082,0.08175904990776266,Menn,18,-0.051846578063560855,-0.051846578063560855,-0.002,0.076,0.1,0.21464759204474898,0.21464759204474898,0.10200000000000001,0.09273834804254084,Menn,2,-0.040786802542777834,-0.040786802542777834,-0.035,-0.03,-0.025,-0.01936825551101823,-0.01936825551101823,0.010000000000000002,0.03192720300311035
3,Gergely + Lutz,3,-0.007783078778752506,-0.007783078778752506,0.005,0.018,0.052,0.08648893205203068,0.08648893205203068,0.047,0.05117173204596272,Gergely + Lutz,33,-0.1163158585790315,-0.093,-0.03,0.002,0.012,0.075,0.09216655567367502,0.041999999999999996,0.0507872522465484,Gergely + Lutz,28,-0.1442929774697109,-0.1442929774697109,-0.089,-0.079,-0.039,-0.01818161087202999,-0.01818161087202999,0.049999999999999996,0.0764684307471048,Gergely + Lutz,18,-0.21988598229790263,-0.16349999999999998,-0.141,-0.129,-0.126,-0.10350000000000002,-0.0594081384026687,0.014999999999999986,0.13865648584574672,Gergely + Lutz,2,-0.2448859822979026,-0.2448859822979026,-0.224,-0.203,-0.182,-0.16140813840266874,-0.16140813840266874,0.04200000000000001,0.20739061149027904
4,SMTCM,3,0.02740555463578788,0.02740555463578788,0.042,0.056,0.093,0.13059592970081296,0.13059592970081296,0.051,0.08349541761122661,SMTCM,33,-0.05571469047434216,-0.05571469047434216,0.014,0.045,0.064,0.139,0.25866635264839,0.05,0.08446836126787474,SMTCM,28,-0.08972820425660832,-0.08972820425660832,-0.065,-0.053,0.025,0.06213978142629592,0.06213978142629592,0.09,0.05769679652635699,SMTCM,18,-0.19972521173863383,-0.19972521173863383,-0.141,-0.107,-0.094,-0.02350000000000002,0.016268720505711043,0.046999999999999986,0.12321865525536974,SMTCM,2,-0.2247252117386338,-0.2247252117386338,-0.19,-0.155,-0.12,-0.08573127949428899,-0.08573127949428899,0.07,0.1700753848660965
