,meas_wmax,wmax_001a,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
24,0.168,0.7193631667927382,2,R18,6,2,0.0,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,14,1
25,0.2,0.872377510288926,2,R18,7,2,0.0,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
26,0.115,0.1419820160573793,2,R19,2,2,0.0,33.0,206.02661947878133,10.0,0.0147078307752331,2,2,1,1
27,0.15,0.19891305715031912,2,R19,3,2,0.0,33.0,257.94261488758053,10.0,0.0147078307752331,2,2,1,1
28,0.2,0.2558961504727622,2,R19,4,2,0.0,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,1,1
29,0.225,0.2558961504727622,2,R19,5,2,0.0,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
30,0.15,0.1268270355898688,2,R21,3,2,0.0,19.0,196.24104766651945,21.33333333333333,0.0264772911709954,2,2,1,1
31,0.185,0.16611966898483124,2,R21,4,2,0.0,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
32,0.2,0.20572603616370316,2,R21,5,2,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
33,0.25,0.20572603616370316,2,R21,6,2,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
34,0.25,0.24568945006808518,2,R21,7,2,0.0,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
35,0.21,0.23751430314107314,2,R25,4,2,0.0,35.0,243.86736506324516,16.0,0.021795331146856,2,2,1,1
36,0.25,0.2938814849990761,2,R25,5,2,0.0,35.0,293.2968966637636,16.0,0.021795331146856,2,2,1,1
37,0.25,0.2938814849990761,2,R25,6,2,0.0,35.0,293.2968966637636,16.0,0.021795331146856,2,2,14,1
38,0.325,0.3505862978849489,2,R25,7,2,0.0,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
39,0.21,0.23787915548521316,2,R26,4,2,0.0,35.0,243.92168385510388,16.0,0.021795331146856,2,2,1,1
40,0.25,0.2942651540133267,2,R26,5,2,0.0,35.0,293.3677161774819,16.0,0.021795331146856,2,2,1,1
41,0.25,0.2942651540133267,2,R26,6,2,0.0,35.0,293.3677161774819,16.0,0.021795331146856,2,2,14,1
42,0.325,0.35099177556588995,2,R26,7,2,0.0,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
43,0.165,0.17013464783720902,2,R29,2,2,0.0,35.0,193.5223701072042,16.0,0.021795331146856,2,2,1,1
44,0.235,0.2257513877344143,2,R29,3,2,0.0,35.0,242.293823844099,16.0,0.021795331146856,2,2,1,1
45,0.325,0.2815798295031322,2,R29,4,2,0.0,35.0,291.2509232706112,16.0,0.021795331146856,2,2,1,1
46,0.35,0.2815798295031322,2,R29,5,2,0.0,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
47,0.25,0.17595246276177776,2,R33,3,2,0.0,33.0,194.3976057911665,16.0,0.022155584554242,2,2,1,1
48,0.325,0.22908158886258445,2,R33,4,2,0.0,33.0,243.54623182135555,16.0,0.022155584554242,2,2,1,1
49,0.375,0.2824996452187111,2,R33,5,2,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
50,0.45,0.2824996452187111,2,R33,6,2,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
51,0.5,0.33626337706416254,2,R33,7,2,0.0,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
52,0.16,0.17793716160355308,2,R49,3,2,0.0,33.0,194.66551485393805,16.0,0.022155584554242,2,2,1,1
53,0.215,0.23117009594883964,2,R49,4,2,0.0,33.0,243.9101716860852,16.0,0.022155584554242,2,2,1,1
54,0.4,0.28470875044220817,2,R49,5,2,0.0,33.0,293.4376437333642,16.0,0.022155584554242,2,2,1,1
55,0.4,0.28470875044220817,2,R49,6,2,0.0,33.0,293.4376437333642,16.0,0.022155584554242,2,2,14,1
56,0.425,0.33861308919786587,2,R49,7,2,0.0,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
57,0.17,0.20522726921772635,2,R58,5,2,0.0,28.0,247.6243131929624,16.0,0.0231105666470973,2,2,14,1
58,0.269,0.24403238005982786,2,R58,6,2,0.0,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
59,0.297,0.24403238005982786,2,R58,7,2,0.0,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
60,0.24,0.5123147972435482,2,R61,3,2,0.0,29.0,199.3525027996041,26.0,0.0240784198846564,2,2,1,1
61,0.315,0.6565392313743558,2,R61,4,2,0.0,29.0,250.0708714381683,26.0,0.0240784198846564,2,2,1,1
62,0.325,0.6565392313743558,2,R61,5,2,0.0,29.0,250.0708714381683,26.0,0.0240784198846564,2,2,14,1
63,0.35,0.7994891996703136,2,R61,6,2,0.0,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
64,0.2,0.500535795404388,2,R66,3,2,0.0,25.5,198.67821080320624,26.0,0.0262673671468979,2,2,1,1
65,0.325,0.6462461739614764,2,R66,4,2,0.0,25.5,249.07409666951307,26.0,0.0262673671468979,2,2,1,1
66,0.325,0.6462461739614764,2,R66,5,2,0.0,25.5,249.07409666951307,26.0,0.0262673671468979,2,2,14,1
67,0.4,0.7909018180291998,2,R66,6,2,0.0,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
68,0.2,0.4981764671174872,2,R67,3,2,0.0,27.5,198.26311602972385,26.0,0.0249702132137178,2,2,1,1
69,0.325,0.643699156852586,2,R67,4,2,0.0,27.5,248.54997711951967,26.0,0.0249702132137178,2,2,1,1
70,0.325,0.643699156852586,2,R67,5,2,0.0,27.5,248.54997711951967,26.0,0.0249702132137178,2,2,14,1
71,0.4,0.788177480863566,2,R67,6,2,0.0,27.5,299.19484198488755,26.0,0.0249702132137178,2,2,1,1
72,0.22,0.15866090826019016,2,R68,4,2,0.0,28.0,198.4499757783498,26.0,0.0369985476276428,2,2,1,1
73,0.283,0.204566852353409,2,R68,5,2,0.0,28.0,249.3064027460628,26.0,0.0369985476276428,2,2,1,1
74,0.3,0.204566852353409,2,R68,6,2,0.0,28.0,249.3064027460628,26.0,0.0369985476276428,2,2,14,1
75,0.357,0.2510744337902936,2,R68,7,2,0.0,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
76,0.185,0.11373763838690518,3,T12,5,2,0.0,25.0,161.38924373836193,32.0,0.0560451372347726,2,2,1,1
77,0.21,0.13882346262691594,3,T12,6,2,0.0,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,1,1
78,0.235,0.13882346262691594,3,T12,7,2,0.0,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,1,1
79,0.225,0.13882346262691594,3,T12,8,2,0.0,25.0,193.89817906222152,32.0,0.0560451372347726,2,2,14,1
80,0.265,0.16397628899170533,3,T12,9,2,0.0,25.0,226.49394301567477,32.0,0.0560451372347726,2,2,1,1
81,0.275,0.18920007050097423,3,T12,10,2,0.0,25.0,259.18165835094084,32.0,0.0560451372347726,2,2,1,1
82,0.365,0.21450841412162788,3,T12,11,2,0.0,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
83,0.125,0.1628430037172855,3,T21,3,2,0.0,35.0,194.6055440056875,16.0,0.032692996720284,2,2,1,1
84,0.15,0.20973152085484875,3,T21,4,2,0.0,35.0,243.5206342110617,16.0,0.032692996720284,2,2,1,1
85,0.2,0.25672726365124754,3,T21,5,2,0.0,35.0,292.5475844856909,16.0,0.032692996720284,2,2,1,1
86,0.225,0.25672726365124754,3,T21,6,2,0.0,35.0,292.5475844856909,16.0,0.032692996720284,2,2,14,1
87,0.25,0.30381427689986135,3,T21,7,2,0.0,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
88,0.085,0.11209941517516582,3,T27,2,2,0.0,34.0,152.8948062856266,16.0,0.0467585883324992,2,2,1,1
89,0.15,0.15558624688329403,3,T27,3,2,0.0,34.0,204.28071081889937,16.0,0.0467585883324992,2,2,1,1
90,0.225,0.19912020635329586,3,T27,4,2,0.0,34.0,255.88711336937436,16.0,0.0467585883324992,2,2,1,1
91,0.3,0.2427249698564245,3,T27,5,2,0.0,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,1,1
92,0.35,0.2427249698564245,3,T27,6,2,0.0,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
93,0.1,0.21342082797112796,3,T7,3,2,0.0,40.0,201.2933795699474,32.0,0.0410330469040299,2,2,1,1
94,0.1,0.27209784100034695,3,T7,4,2,0.0,40.0,252.16267081649096,32.0,0.0410330469040299,2,2,1,1
95,0.13,0.3310562709523902,3,T7,5,2,0.0,40.0,303.275932890277,32.0,0.0410330469040299,2,2,1,1
96,0.17,0.3310562709523902,3,T7,6,2,0.0,40.0,303.275932890277,32.0,0.0410330469040299,2,2,14,1
97,0.136,0.12800270407145276,4,PL 15/210,1,2,0.0,15.0,243.35326618080765,10.0,0.0112199737628206,2,2,1,1
98,0.204,0.16666733093947525,4,PL 15/210,2,2,0.0,15.0,292.3888899856995,10.0,0.0112199737628206,2,2,1,1
99,0.224,0.16666733093947525,4,PL 15/210,3,2,0.0,15.0,292.3888899856995,10.0,0.0112199737628206,2,2,14,1
100,0.272,0.2052439165546999,4,PL 15/210,4,2,0.0,15.0,341.58162732875564,10.0,0.0112199737628206,2,2,1,1
101,0.096,0.13917956741452234,4,PL 15/221,1,2,0.0,16.0,243.70116358434151,8.0,0.0110647288428319,2,2,1,1
102,0.15,0.17761195422486925,4,PL 15/221,2,2,0.0,16.0,292.92455816193325,8.0,0.0110647288428319,2,2,1,1
103,0.159,0.17761195422486925,4,PL 15/221,3,2,0.0,16.0,292.92455816193325,8.0,0.0110647288428319,2,2,14,1
104,0.096,0.09479353346199608,4,PL 15/239,3,2,0.0,16.5,194.7162706794225,8.0,0.0109732848028085,1,2,1,1
105,0.117,0.11971194464869997,4,PL 15/239,4,2,0.0,16.5,243.8584970581364,8.0,0.0109732848028085,2,2,1,1
106,0.117,0.11971194464869997,4,PL 15/239,5,2,0.0,16.5,243.8584970581364,8.0,0.0109732848028085,2,2,14,1
107,0.15,0.11446770204719851,4,PL 15/255,3,2,0.0,16.0,185.22253352522733,12.0,0.0122399713776225,2,2,1,1
108,0.196,0.14881538393611982,4,PL 15/255,4,2,0.0,16.0,232.32787112369445,12.0,0.0122399713776225,2,2,1,1
109,0.224,0.14881538393611982,4,PL 15/255,5,2,0.0,16.0,232.32787112369445,12.0,0.0122399713776225,2,2,14,1
110,0.27,0.18285601358564432,4,PL 15/255,6,2,0.0,16.0,279.6369067709714,12.0,0.0122399713776225,2,2,1,1
111,0.306,0.21668549987873464,4,PL 15/255,7,2,0.0,16.0,327.3509133740737,12.0,0.0122399713776225,2,2,1,1
112,0.16,0.22186760920673443,4,PL 30/204,2,2,0.0,16.0,193.47635003016185,16.0,0.0161729351536154,2,2,1,1
113,0.256,0.2956486499493502,4,PL 30/204,3,2,0.0,16.0,242.2956083701096,16.0,0.0161729351536154,2,2,1,1
114,0.28,0.2956486499493502,4,PL 30/204,4,2,0.0,16.0,242.2956083701096,16.0,0.0161729351536154,2,2,14,1
115,0.36,0.3691036285108635,4,PL 30/204,5,2,0.0,16.0,291.26478872263954,16.0,0.0161729351536154,2,2,1,1
116,0.172,0.247270538544139,4,PL 30/240,2,2,0.0,16.600000000000023,205.1188243937531,16.0,0.0147798357686636,2,2,1,1
117,0.254,0.3242524538373352,4,PL 30/240,3,2,0.0,16.600000000000023,257.06298639176816,16.0,0.0147798357686636,2,2,1,1
118,0.21,0.3242524538373352,4,PL 30/240,4,2,0.0,16.600000000000023,257.06298639176816,16.0,0.0147798357686636,2,2,14,1
119,0.25,0.40068877463154223,4,PL 30/240,5,2,0.0,16.600000000000023,309.1558711714947,16.0,0.0147798357686636,2,2,1,1
120,0.216,0.2344863761473051,4,PL 30/256,3,2,0.0,17.0,186.065979935934,16.0,0.0159572960182338,2,2,1,1
121,0.274,0.30290326010000856,4,PL 30/256,4,2,0.0,17.0,233.2310243109972,16.0,0.0159572960182338,2,2,1,1
122,0.304,0.30290326010000856,4,PL 30/256,5,2,0.0,17.0,233.2310243109972,16.0,0.0159572960182338,2,2,14,1
123,0.3,0.3707723316129497,4,PL 30/256,6,2,0.0,17.0,280.54682760243924,16.0,0.0159572960182338,2,2,1,1
124,0.384,0.43829952158740126,4,PL 30/256,7,2,0.0,17.0,328.204281362172,16.0,0.0159572960182338,2,2,1,1
125,0.163,0.13085698214729363,10,Specimen 1,5,2,0.0,30.0,173.5,16.0,0.0443213296398892,2,1a,1,1
126,0.163,0.13085698214729363,10,Specimen 2,5,2,0.0,30.0,173.5,16.0,0.0443213296398892,2,1a,1,1
127,0.163,0.13085698214729363,10,Specimen 3,5,2,0.0,30.0,173.5,16.0,0.0443213296398892,2,1a,1,1
128,0.163,0.13119409831613918,10,Specimen 5,5,2,0.0,30.0,173.79999999999998,16.0,0.0443213296398892,2,1a,1,1
129,0.295,0.46649504388486085,11,1B2a,1,2,0.0,47.0,298.71450000000004,6.0,0.0094247779607693,1,1a,1,1
130,0.345,0.46649504388486085,11,1B2a,3,2,0.0,47.0,298.71450000000004,6.0,0.0094247779607693,1,1a,10,1
131,0.368,0.4649630404566675,11,1B2a,7,2,0.0,47.0,297.7335,6.0,0.0094247779607693,1,1a,1,1
132,0.225,0.22995216746953084,11,1B2b,1,2,0.0,46.0,179.523,8.0,0.0125663706143591,1,1a,1,1
133,0.253,0.23070610900221786,11,1B2b,3,2,0.0,46.0,180.1116,8.0,0.0125663706143591,1,1a,1,1
134,0.245,0.22995216746953084,11,1B2b,6,2,0.0,46.0,179.523,8.0,0.0125663706143591,1,1a,1,1
135,0.49,0.38516134902311433,11,1B2c,7,2,0.0,45.0,290.7684,10.0,0.0157079632679489,2,1a,1,1
136,0.105,0.15117691014122503,11,2A2b,1,2,0.0,22.0,197.4753,6.0,0.0113097335529232,1,1a,1,1
137,0.115,0.1504259071102204,11,2A2b,3,2,0.0,22.0,196.4943,6.0,0.0113097335529232,1,1a,10,1
138,0.13,0.15117691014122503,11,2A2b,4,2,0.0,22.0,197.4753,6.0,0.0113097335529232,1,1a,30,1
139,0.175,0.22733171679283423,11,2A2b,6,2,0.0,22.0,291.55319999999995,6.0,0.0113097335529232,2,1a,1,1
140,0.195,0.11696545777751749,11,2A2d,7,2,0.0,21.0,180.504,8.0,0.0201061929829746,2,1a,1,1
141,0.215,0.21165440474730396,11,2A2d,8,2,0.0,21.0,272.1294,8.0,0.0201061929829746,2,1a,1,1
142,0.203,0.4652694411423062,11,2B2a,1,2,0.0,47.0,297.9297,6.0,0.0094247779607693,1,1a,1,1
143,0.188,0.4628182356571969,11,2B2a,3,2,0.0,47.0,296.3601,6.0,0.0094247779607693,1,1a,10,1
144,0.12,0.15125201044432549,11,3A2b,1,2,0.0,22.0,197.5734,6.0,0.0113097335529232,1,1a,1,1
145,0.138,0.15072630832262224,11,3A2b,4,2,0.0,22.0,196.8867,6.0,0.0113097335529232,1,1a,1,1
146,0.18,0.24248328264094396,11,3A2b,5,2,0.0,22.0,291.2589,6.0,0.0113097335529232,2,1a,1,1
147,0.135,0.13041449952758935,11,3A2d,5,2,0.0,21.0,186.39,8.0,0.0201061929829746,2,1a,1,1
148,0.188,0.22632000684388273,11,3A2d,6,2,0.0,21.0,279.1926,8.0,0.0201061929829746,2,1a,1,1
149,0.13,0.21776344602442455,11,3B2b,1,2,0.0,46.0,170.0073,8.0,0.0125663706143591,1,1a,1,1
150,0.158,0.2427691735252096,11,3B2b,2,2,0.0,46.0,189.5292,8.0,0.0125663706143591,1,1a,1,1
151,0.148,0.2158785921927071,11,3B2b,5,2,0.0,46.0,168.5358,8.0,0.0125663706143591,1,1a,1,1
152,0.32,0.3588761695590056,11,3B2b,6,2,0.0,46.0,280.1736,8.0,0.0125663706143591,1,1a,1,1
153,0.28,0.22213666011593505,11,3B2c,6,2,0.0,45.0,200.4183,10.0,0.0157079632679489,1,1a,1,1
159,0.11,0.1520927467427491,13,T2B,1,2,0.0,19.050000000000004,206.9,11.3,0.0207261230256515,2,1a,1,1
160,0.13,0.190125905081781,13,T2B,2,2,0.0,19.050000000000004,241.3,11.3,0.0207261230256515,2,1a,1,1
161,0.08,0.15431669338210716,13,T3B,1,2,0.0,19.050000000000004,206.9,12.7,0.0261799387799149,2,1a,1,1
162,0.1,0.19382647764389746,13,T3B,2,2,0.0,19.050000000000004,241.3,12.7,0.0261799387799149,2,1a,1,1
163,0.07,0.1571773892632359,13,T4A,2,2,0.0,12.700000000000022,241.3,11.3,0.0204921574484838,1,1a,1,1
164,0.08,0.16328921632343385,13,T5B,1,2,0.0,19.050000000000004,206.9,12.7,0.0186999562713678,2,1a,1,1
165,0.09,0.2027990005852241,13,T5B,2,2,0.0,19.050000000000004,241.3,12.7,0.0186999562713678,2,1a,1,1
166,0.1,0.14984071747810374,13,T6A,2,2,0.0,12.700000000000015,241.3,16.0,0.036419710186543,2,1a,1,1
167,0.1,0.1542891386937293,13,T6B,1,2,0.0,19.05000000000001,206.9,16.0,0.0296806299551749,2,1a,1,1
168,0.1,0.18941051697925576,13,T6B,2,2,0.0,19.05000000000001,241.3,16.0,0.0296806299551749,2,1a,1,1
169,0.094,0.15792885218689884,13,T7A,2,2,0.0,12.700000000000012,241.3,12.7,0.0249332750284904,1,1a,1,1
170,0.1,0.15700744997825594,13,T8A,2,2,0.0,12.699999999999989,241.3,16.0,0.0364197101865431,2,1a,1,1
171,0.12,0.1768621577500695,13,T8B,1,2,0.0,19.05000000000001,206.9,16.0,0.0278701663904414,2,1a,1,1
172,0.12,0.21198353603559592,13,T8B,2,2,0.0,19.05000000000001,241.3,16.0,0.0278701663904414,2,1a,1,1
173,0.1,0.12446614184489718,13,T9A,1,2,0.0,12.695,206.9,19.05,0.0480964221831084,2,1a,1,1
174,0.1,0.14843527627470365,13,T9A,2,2,0.0,12.695,241.3,19.05,0.0480964221831084,2,1a,1,1
175,0.12,0.17247408842087583,13,T9A,3,2,0.0,12.695,275.8,19.05,0.0480964221831084,2,1a,1,1
176,0.12,0.15944525999236508,13,T9B,1,2,0.0,19.044999999999995,206.9,19.05,0.0374064578546962,2,1a,1,1
177,0.13,0.19185602400675467,13,T9B,2,2,0.0,19.044999999999995,241.3,19.05,0.0374064578546962,2,1a,1,1
178,0.14,0.22436100535839537,13,T9B,3,2,0.0,19.044999999999995,275.8,19.05,0.0374064578546962,2,1a,1,1
179,0.07,0.1895213227638987,15,2A,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,1,1a,1,1
180,0.09,0.231789727489409,15,2A,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
181,0.11,0.27405813221491926,15,2A,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
182,0.12,0.27419119672903725,15,2B,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
183,0.075,0.18660316465521823,15,2C,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,1,1a,1,1
184,0.12,0.22887156938072853,15,2C,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
185,0.12,0.2711399741062388,15,2C,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
186,0.09,0.15900766202632502,15,4A,1,1,0.0,19.05000000000002,206.9,11.3,0.0162082366025723,1,1a,1,1
187,0.1,0.2011535496366889,15,4A,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,2,1a,1,1
188,0.13,0.24342195436219918,15,4A,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
189,0.18,0.2856903590877095,15,4A,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
190,0.09,0.15630114110445906,15,4B,1,1,0.0,19.05000000000002,206.9,11.3,0.0162082366025723,1,1a,1,1
191,0.105,0.19844702871482292,15,4B,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,2,1a,1,1
192,0.12,0.24071543344033322,15,4B,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
193,0.14,0.28298383816584355,15,4B,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
194,0.1,0.16502743255840455,15,4C,1,1,0.0,19.05000000000002,206.9,11.3,0.0162082366025723,1,1a,1,1
195,0.13,0.20717332016876847,15,4C,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,2,1a,1,1
196,0.14,0.24944172489427874,15,4C,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
197,0.16,0.29171012961978904,15,4C,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
198,0.088,0.19009602922235647,15,6A,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,1,1a,1,1
199,0.11,0.23236443394786674,15,6A,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
200,0.11,0.274632838673377,15,6A,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
201,0.1,0.18351413392922175,15,6B,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,1,1a,1,1
202,0.12,0.22578253865473205,15,6B,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
203,0.14,0.2680509433802423,15,6B,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
204,0.075,0.1925553861335863,15,6C,2,1,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,1,1a,1,1
205,0.14,0.2348237908590966,15,6C,3,1,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
206,0.17,0.2770921955846069,15,6C,4,1,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
207,0.1,0.21699953061937763,16,1,3,2,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,1,1a,1,1
208,0.1,0.25926793534488796,16,1,4,2,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
209,0.08,0.1835842360400085,16,2,2,2,0.0,19.05000000000002,241.3,11.3,0.0162082366025723,1,1a,1,1
210,0.14,0.2258526407655188,16,2,3,2,0.0,19.05000000000002,275.8,11.3,0.0162082366025723,2,1a,1,1
211,0.14,0.2681210454910291,16,2,4,2,0.0,19.05000000000002,310.3,11.3,0.0162082366025723,2,1a,1,1
212,0.09,0.24149005279778693,16,3,1,2,0.0,38.1,206.9,11.3,0.0148043735897511,1,1a,1,1
213,0.115,0.28164112972501687,16,3,2,2,0.0,38.1,241.3,11.3,0.0148043735897511,1,1a,1,1
214,0.16,0.32190892489912826,16,3,3,2,0.0,38.1,275.8,11.3,0.0148043735897511,2,1a,1,1
215,0.2,0.3621767200732397,16,3,4,2,0.0,38.1,310.3,11.3,0.0148043735897511,2,1a,1,1
216,0.09,0.24149005279778693,16,4,1,2,0.0,38.1,206.9,11.3,0.0148043735897511,1,1a,1,1
217,0.11,0.28164112972501687,16,4,2,2,0.0,38.1,241.3,11.3,0.0148043735897511,1,1a,1,1
218,0.12,0.32190892489912826,16,4,3,2,0.0,38.1,275.8,11.3,0.0148043735897511,2,1a,1,1
219,0.18,0.37553132017973534,16,4,4,2,0.0,38.1,310.3,11.3,0.0148043735897511,2,1a,1,1
220,0.06,0.24149005279778693,16,5,1,2,0.0,38.1,206.9,11.3,0.0148043735897511,1,1a,1,1
221,0.1,0.28164112972501687,16,5,2,2,0.0,38.1,241.3,11.3,0.0148043735897511,1,1a,1,1
222,0.18,0.32190892489912826,16,5,3,2,0.0,38.1,275.8,11.3,0.0148043735897511,2,1a,1,1
223,0.22,0.3716581938052919,16,5,4,2,0.0,38.1,310.3,11.3,0.0148043735897511,2,1a,1,1
224,0.1,0.24149005279778693,16,6,1,2,0.0,38.1,206.9,11.3,0.0148043735897511,1,1a,1,1
225,0.15,0.28164112972501687,16,6,2,2,0.0,38.1,241.3,11.3,0.0148043735897511,1,1a,1,1
226,0.18,0.32190892489912826,16,6,3,2,0.0,38.1,275.8,11.3,0.0148043735897511,2,1a,1,1
227,0.2,0.3818394867208011,16,6,4,2,0.0,38.1,310.3,11.3,0.0148043735897511,2,1a,1,1
