,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,68,-133.158,-67.29,10.788,29.178,62.84,140.918,160.053,52.052,57.607
1,MC 2020,68,-149.968,-79.38149999999999,-9.675,7.741,36.796,106.5025,131.202,46.471,43.993
2,Noakowski,68,-250.525,-114.64000000000001,-67.462,-53.753,-36.01,11.168000000000006,76.412,31.452,66.907
3,Menn,68,-94.178,-59.196999999999996,12.323,18.158,60.003,131.523,185.464,47.68,51.449
4,SMTCM,68,-223.726,-114.88050000000001,-18.816,15.484,45.227,104.252,104.252,64.043,55.04
