,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,9,-37.47131299332011,39.468,60.048,67.914,73.768,94.348,160.0529530427183,13.719999999999999,90.97535684414801,MC 2010,54,-77.47131299332017,-40.757999999999996,10.884,29.176,45.312,96.954,118.92874615974387,34.428,48.762825560465984,MC 2010,5,-133.15763756582538,-17.813499999999998,10.655,10.655,29.634,58.1025,62.73727072362442,18.979,67.48651030457795
1,MC 2020,0,0,0,0,0,0,0,0,0,0,MC 2020,9,-51.89893648243029,19.905500000000007,40.487,48.354,54.208,74.78949999999999,131.20212703513943,13.720999999999997,70.69351451692143,MC 2020,54,-91.89893648243029,-59.4495,-8.676,7.129,25.173,75.9465,83.2063735796541,33.849,34.029811903450835,MC 2020,5,-149.96829837188844,-53.5355,-25.067,-25.067,-6.088,17.669502713519535,17.669502713519535,18.979,69.42121150084535
2,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,9,-88.73094478229224,-43.414,-15.334,-2.338,3.386,31.465999999999998,76.41150593045717,18.72,41.20535622380692,Noakowski,54,-127.56017872765773,-107.91600000000001,-66.501,-58.89,-38.891,1.949352483529907,1.949352483529907,27.610000000000007,59.67387603708094,Noakowski,5,-250.52516838053776,-139.69,-108.283,-108.283,-87.345,-55.937999999999995,-54.63498934773719,20.938000000000002,139.1598618716167
3,Menn,0,0,0,0,0,0,0,0,0,0,Menn,9,-14.9781721898527,36.94300000000001,57.064,66.984,70.478,90.59899999999999,185.46377975327238,13.413999999999994,88.98725492223096,Menn,54,-59.99153193320143,-42.797000000000004,12.793,16.849,49.853,105.38164820139451,105.38164820139451,37.06,41.81277986443398,Menn,5,-94.17792939612656,-29.4635,-5.006,-4.429,11.299,35.7565,72.64421221379939,16.305,53.514479500545946
4,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,9,-64.6445335271806,-10.25399999999999,56.307,83.194,100.681,104.25246355326723,104.25246355326723,44.373999999999995,79.83883485971258,SMTCM,54,-105.87227407341916,-103.882,-16.543,15.484,41.683,94.52859472471155,94.52859472471155,58.226,40.40535130470021,SMTCM,5,-223.7264705445565,-125.84899999999999,-77.765,-45.709,-45.709,-13.789047254220293,-13.789047254220293,32.056,109.9724471695471
