,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,MC 2010,0,0,0,0,0,0,0,0,0,0,MC 2010,7,-16.712627313060608,-16.712627313060608,10.971,19.971,39.889,64.73397245045379,64.73397245045379,28.918000000000003,35.468966251376266,MC 2010,7,-104.56938746222843,-104.56938746222843,-81.86,-32.607,-8.198,62.24703877755144,62.24703877755144,73.662,65.04689305713266,MC 2010,2,-114.06894096959093,-114.06894096959093,-91.428,-68.787,-46.146,-23.504868164408776,-23.504868164408776,45.282,82.35351274035084
1,MC 2020,0,0,0,0,0,0,0,0,0,0,MC 2020,7,-23.832921244138447,-23.832921244138447,-21.332,-8.041,15.421,53.18017978661135,53.18017978661135,36.753,27.840624997890394,MC 2020,7,-115.19606128814684,-115.19606128814684,-97.574,-51.434,-1.356,100.32362049785763,100.32362049785763,96.218,83.37481664288877,MC 2020,2,-142.8357038716938,-142.8357038716938,-129.33,-115.824,-102.319,-88.81313324247174,-88.81313324247174,27.01100000000001,118.9323566925066
2,Oh + Kang,0,0,0,0,0,0,0,0,0,0,Oh + Kang,7,-12.559969678099378,-12.559969678099378,4.613,40.701,96.41,145.63806855380437,145.63806855380437,91.797,79.57241935575296,Oh + Kang,7,-127.26573975434934,-127.26573975434934,-71.417,-22.244,44.324,115.12851066001258,115.12851066001258,115.741,79.8757574040837,Oh + Kang,2,-129.0376077870957,-129.0376077870957,-116.662,-104.287,-91.912,-79.53701609211154,-79.53701609211154,24.75,107.1840500080426
3,Noakowski,0,0,0,0,0,0,0,0,0,0,Noakowski,7,-23.85699791255439,-17.423000000000002,-4.541,3.035,4.047,13.279788570855914,13.279788570855914,8.588000000000001,10.949169255589446,Noakowski,7,-147.81594436094886,-147.81594436094886,-112.807,-85.055,-26.951,10.99758507420006,10.99758507420006,85.856,89.6367918538483,Noakowski,2,-173.51712900919102,-173.51712900919102,-166.637,-159.758,-152.878,-145.9984740500599,-145.9984740500599,13.759000000000015,160.34922588609254
4,Menn,0,0,0,0,0,0,0,0,0,0,Menn,7,57.29477632708057,57.29477632708057,63.397,87.89,108.721,131.50834543871463,131.50834543871463,45.324000000000005,93.23774916502055,Menn,7,-22.343606051429333,-22.343606051429333,-9.322,93.595,113.625,178.48682487252603,178.48682487252603,122.947,98.12776159947671,Menn,2,-37.896288210322666,-37.896288210322666,15.17,68.236,121.302,174.36776720100573,174.36776720100573,106.132,126.17497156485507
5,JSCE,0,0,0,0,0,0,0,0,0,0,JSCE,7,-13.689368064951708,-13.689368064951708,-3.395,28.073,58.055,138.19937624796125,138.19937624796125,61.45,62.30995395451692,JSCE,7,-76.47617419284109,-76.47617419284109,-47.974,42.02,64.608,155.83250185247562,155.83250185247562,112.582,80.21615188917707,JSCE,2,-98.85372675674049,-98.85372675674049,-75.802,-52.75,-29.699,-6.646988830312068,-6.646988830312068,46.10300000000001,70.05798225115609
6,Gergely + Lutz,0,0,0,0,0,0,0,0,0,0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,SMTCM,0,0,0,0,0,0,0,0,0,0,SMTCM,7,-50.07290815926444,-50.07290815926444,-27.706,13.087,42.666,62.113726157901425,62.113726157901425,70.372,42.48579197792444,SMTCM,7,-141.85302554366842,-141.85302554366842,-113.897,-85.018,-69.107,-30.85175017465258,-30.85175017465258,44.790000000000006,95.79676986992553,SMTCM,2,-203.55294852385393,-203.55294852385393,-201.624,-199.695,-197.766,-195.8365205841835,-195.8365205841835,3.858000000000004,199.73200250244582
