,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,MC 2010,23,0.005810921214099027,0.005810921214099027,0.017,0.024,0.044,0.08449999999999999,0.2148671560641879,0.026999999999999996,0.07358697030135511,MC 2010,73,-0.0585207893636816,-0.0585207893636816,0.019,0.039,0.076,0.16149999999999998,0.25338125356546365,0.056999999999999995,0.08140535386807987,MC 2010,68,-0.1316205273040796,-0.1316205273040796,-0.024,0.037,0.08,0.19847910272396863,0.19847910272396863,0.10400000000000001,0.07851550834914889,MC 2010,36,-0.18291270136198373,-0.169,-0.058,-0.021,0.016,0.127,0.13996901140995616,0.07400000000000001,0.07557833027829183,MC 2010,7,-0.17489432607352873,-0.17489432607352873,-0.154,-0.112,-0.087,-0.019326965325386025,-0.019326965325386025,0.067,0.12370806159743858
1,MC 2020,23,-0.015790778902172384,-0.015790778902172384,0.002,0.017,0.028,0.067,0.19375877193952348,0.026000000000000002,0.054137720488535636,MC 2020,73,-0.07947039209057452,-0.07947039209057452,-0.031,-0.001,0.028,0.11649999999999999,0.2288952777487085,0.059,0.060889520533409416,MC 2020,68,-0.17289411839113483,-0.17289411839113483,-0.071,-0.046,0.027,0.174,0.23951319570285146,0.09799999999999999,0.08617201063180513,MC 2020,36,-0.2322872102728097,-0.2322872102728097,-0.123,-0.081,-0.041,0.08199999999999999,0.30406333868167684,0.08199999999999999,0.12547871364765964,MC 2020,7,-0.2347772415868295,-0.2347772415868295,-0.201,-0.168,-0.155,-0.08599999999999998,-0.06524459321384302,0.04600000000000001,0.1766076308705032
2,Oh + Kang,23,0.004025672696444563,0.023,0.047,0.053,0.063,0.087,0.2196040438001445,0.016,0.07442594853058888,Oh + Kang,73,-0.08457165556454367,-0.005000000000000001,0.028,0.038,0.05,0.083,0.26633157693330367,0.022000000000000002,0.060929549065023125,Oh + Kang,68,-0.1680707305522841,-0.11699999999999999,-0.03,0.001,0.028,0.0986164067142899,0.0986164067142899,0.057999999999999996,0.05306533983807392,Oh + Kang,36,-0.23344768522875592,-0.23344768522875592,-0.11,-0.051,-0.011,0.04389499175461481,0.04389499175461481,0.099,0.09118704001420007,Oh + Kang,7,-0.23139348606451743,-0.23139348606451743,-0.191,-0.179,-0.141,-0.10733795486145414,-0.10733795486145414,0.05000000000000002,0.1737447131289382
3,Noakowski,23,-0.013943487796565596,-0.013943487796565596,0.0,0.02,0.056,0.14,0.14669236141586495,0.056,0.052390159310194535,Noakowski,73,-0.10112244876195572,-0.0635,0.007,0.035,0.054,0.1245,0.1693875181623976,0.047,0.05252489371154014,Noakowski,68,-0.1845308781984027,-0.16299999999999998,-0.046,0.003,0.032,0.0821071528998944,0.0821071528998944,0.078,0.05948199506828566,Noakowski,36,-0.25975585643422194,-0.25975585643422194,-0.132,-0.075,-0.012,0.034306587525907095,0.034306587525907095,0.12000000000000001,0.1094719777942539,Noakowski,7,-0.2768569437597036,-0.2768569437597036,-0.253,-0.188,-0.18,-0.11619571925937316,-0.11619571925937316,0.07300000000000001,0.21333127732809937
4,JSCE,23,0.06495365494314125,0.06495365494314125,0.079,0.093,0.136,0.22150000000000003,0.2885818892933124,0.05700000000000001,0.1328344882188923,JSCE,73,-0.02088381663316205,-0.013000000000000025,0.074,0.108,0.132,0.21900000000000003,0.3373472667390096,0.05800000000000001,0.12722374257220748,JSCE,68,-0.1195950044357953,-0.1195950044357953,0.023,0.101,0.141,0.31799999999999995,0.3227536308285145,0.118,0.12497817025296487,JSCE,36,-0.17854958348606723,-0.17854958348606723,-0.039,0.042,0.109,0.2009384293825177,0.2009384293825177,0.148,0.09754218497120516,JSCE,7,-0.17201226364597455,-0.17201226364597455,-0.118,-0.07,-0.029,-0.0023946134097548866,-0.0023946134097548866,0.089,0.09828576301032381
5,Gergely + Lutz,23,0.01660769811349587,0.01660769811349587,0.049,0.057,0.075,0.11399999999999999,0.16974567884433103,0.025999999999999995,0.07363248419840578,Gergely + Lutz,73,-0.06184567754093859,-0.047,0.013,0.03,0.053,0.11299999999999999,0.19472794429288676,0.04,0.05193394932493374,Gergely + Lutz,68,-0.13734563875182942,-0.13734563875182942,-0.066,-0.021,0.027,0.08626296347098628,0.08626296347098628,0.093,0.06187318967981629,Gergely + Lutz,36,-0.2022258132864074,-0.2022258132864074,-0.127,-0.104,-0.069,-0.024169446667540062,-0.024169446667540062,0.057999999999999996,0.11264975055572625,Gergely + Lutz,7,-0.23888113570414876,-0.23888113570414876,-0.213,-0.163,-0.142,-0.09228430939638804,-0.09228430939638804,0.07100000000000001,0.17909200887122576
6,SMTCM,23,-0.03992328333140945,0.006999999999999985,0.052,0.062,0.082,0.09534968544881502,0.09534968544881502,0.030000000000000006,0.0663522440936936,SMTCM,73,-0.0860071128054608,-0.0860071128054608,-0.005,0.05,0.07,0.12644141084585026,0.12644141084585026,0.07500000000000001,0.062342484644100304,SMTCM,68,-0.1685594945933253,-0.1685594945933253,-0.101,-0.044,0.043,0.16376743101747648,0.16376743101747648,0.14400000000000002,0.08725321809786053,SMTCM,36,-0.2323763574465278,-0.2323763574465278,-0.164,-0.119,-0.097,0.003500000000000003,0.051707565188386206,0.067,0.13592108976942663,SMTCM,7,-0.2615646263324196,-0.2615646263324196,-0.242,-0.229,-0.176,-0.1414793725274574,-0.1414793725274574,0.066,0.21389046794836486
