,CWFname,Ndat,min,Q1_IQR,Q1,Med,Q3,Q3_IQR,max,IQR,RMSE
0,MC 2010,16,-114.069,-114.069,-44.857,-7.352,20.94,64.734,64.734,65.797,57.002
1,MC 2020,16,-142.836,-142.836,-82.526,-23.832,7.005,100.324,100.324,89.531,71.753
2,Oh + Kang,16,-129.038,-129.038,-60.625,4.613,49.738,145.638,145.638,110.363,83.651
3,Noakowski,16,-173.517,-173.517,-108.836,-24.367,3.062,13.28,13.28,111.898,82.351
4,Menn,16,-37.896,-37.896,41.04,87.919,126.568,178.487,178.487,85.528,100.03
5,JSCE,16,-98.854,-98.854,-20.249,17.423,60.779,155.833,155.833,81.028,71.605
6,Gergely + Lutz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,SMTCM,16,-203.553,-203.553,-109.972,-53.292,-10.276,62.114,62.114,99.696,98.951
