No,Source,Name,ID,rho,Es,fr,cbot,fcm,fctm,Ecm,sigs,phi,w
1510,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-2,31.41592654,196.3166667,2,40,44.8,2.6,32.5,189,20,0.14
1511,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-2,31.41592654,196.3166667,2,40,44.8,2.6,32.5,200,20,0.15
1512,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-2,31.41592654,196.3166667,2,40,44.8,2.6,32.5,206,20,0.16
1513,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-2,31.41592654,196.3166667,2,40,44.8,2.6,32.5,218,20,0.17
1526,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,105,20,0.05
1527,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,94,20,0.05
1528,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,104,20,0.06
1529,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,110,20,0.06
1530,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,126,20,0.09
1531,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,142,20,0.09
1532,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,157,20,0.11
1533,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,190,20,0.14
1534,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,199,20,0.15
1535,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N12-20-3,31.41592654,196.3166667,2,40,44.8,2.6,32.5,218,20,0.17
1564,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-1,7.853981634,200.5333333,2,45,48.6,2.68,29.8,374,10,0.25
1565,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-1,7.853981634,200.5333333,2,45,48.6,2.68,29.8,442,10,0.28
1587,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,434,10,0.23
1588,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,354,10,0.23
1589,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,381,10,0.26
1590,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,405,10,0.27
1591,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,409,10,0.23
1592,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,345,10,0.23
1593,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,403,10,0.26
1594,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-2,7.853981634,200.5333333,2,45,48.6,2.68,29.8,441,10,0.29
1615,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-3,7.853981634,200.5333333,2,45,48.6,2.68,29.8,430,10,0.22
1616,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-3,7.853981634,200.5333333,2,45,48.6,2.68,29.8,372,10,0.22
1617,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-3,7.853981634,200.5333333,2,45,48.6,2.68,29.8,393,10,0.23
1618,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-3,7.853981634,200.5333333,2,45,48.6,2.68,29.8,421,10,0.24
1619,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-10-3,7.853981634,200.5333333,2,45,48.6,2.68,29.8,438,10,0.26
1642,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-1,15.393804,196.3166667,2,43,48.6,2.68,29.8,228,14,0.12
1643,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-1,15.393804,196.3166667,2,43,48.6,2.68,29.8,207,14,0.12
1644,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-1,15.393804,196.3166667,2,43,48.6,2.68,29.8,227,14,0.13
1645,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-1,15.393804,196.3166667,2,43,48.6,2.68,29.8,261,14,0.17
1646,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-1,15.393804,196.3166667,2,43,48.6,2.68,29.8,287,14,0.2
1670,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-2,15.393804,196.3166667,2,43,48.6,2.68,29.8,278,14,0.16
1671,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-2,15.393804,196.3166667,2,43,48.6,2.68,29.8,262,14,0.16
1672,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-2,15.393804,196.3166667,2,43,48.6,2.68,29.8,278,14,0.17
1673,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-2,15.393804,196.3166667,2,43,48.6,2.68,29.8,298,14,0.19
1700,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-3,15.393804,196.3166667,2,43,48.6,2.68,29.8,219,14,0.11
1701,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-3,15.393804,196.3166667,2,43,48.6,2.68,29.8,192,14,0.11
1702,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-3,15.393804,196.3166667,2,43,48.6,2.68,29.8,215,14,0.12
1703,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-3,15.393804,196.3166667,2,43,48.6,2.68,29.8,229,14,0.12
1704,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-3,15.393804,196.3166667,2,43,48.6,2.68,29.8,256,14,0.15
1705,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-3,15.393804,196.3166667,2,43,48.6,2.68,29.8,296,14,0.19
1706,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-14-3,15.393804,196.3166667,2,43,48.6,2.68,29.8,325,14,0.22
1736,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-1,31.41592654,197.5,2,40,48.6,2.68,29.8,144,20,0.08
1737,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-1,31.41592654,197.5,2,40,48.6,2.68,29.8,160,20,0.09
1738,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-1,31.41592654,197.5,2,40,48.6,2.68,29.8,192,20,0.11
1739,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-1,31.41592654,197.5,2,40,48.6,2.68,29.8,220,20,0.13
1773,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-2,31.41592654,197.5,2,40,48.6,2.68,29.8,191,20,0.13
1774,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-2,31.41592654,197.5,2,40,48.6,2.68,29.8,185,20,0.13
1775,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-2,31.41592654,197.5,2,40,48.6,2.68,29.8,220,20,0.15
1807,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-3,31.41592654,197.5,2,40,48.6,2.68,29.8,151,20,0.08
1808,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-3,31.41592654,197.5,2,40,48.6,2.68,29.8,144,20,0.08
1809,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-3,31.41592654,197.5,2,40,48.6,2.68,29.8,152,20,0.08
1810,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-3,31.41592654,197.5,2,40,48.6,2.68,29.8,192,20,0.11
1811,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-3,31.41592654,197.5,2,40,48.6,2.68,29.8,201,20,0.12
1812,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N22-20-3,31.41592654,197.5,2,40,48.6,2.68,29.8,221,20,0.13
1831,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-1,7.853981634,200.5333333,2,45,53.8,2.98,30.7,440,10,0.2
1832,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-1,7.853981634,200.5333333,2,45,53.8,2.98,30.7,348,10,0.2
1833,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-1,7.853981634,200.5333333,2,45,53.8,2.98,30.7,384,10,0.22
1834,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-1,7.853981634,200.5333333,2,45,53.8,2.98,30.7,405,10,0.23
1835,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-1,7.853981634,200.5333333,2,45,53.8,2.98,30.7,421,10,0.24
1836,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-1,7.853981634,200.5333333,2,45,53.8,2.98,30.7,433,10,0.25
1837,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-1,7.853981634,200.5333333,2,45,53.8,2.98,30.7,445,10,0.26
1858,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-2,7.853981634,200.5333333,2,45,53.8,2.98,30.7,427,10,0.23
1859,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-2,7.853981634,200.5333333,2,45,53.8,2.98,30.7,354,10,0.23
1860,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-2,7.853981634,200.5333333,2,45,53.8,2.98,30.7,406,10,0.26
1861,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-2,7.853981634,200.5333333,2,45,53.8,2.98,30.7,430,10,0.28
1862,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-2,7.853981634,200.5333333,2,45,53.8,2.98,30.7,449,10,0.3
1887,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-3,7.853981634,200.5333333,2,45,53.8,2.98,30.7,466,10,0.26
1888,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-3,7.853981634,200.5333333,2,45,53.8,2.98,30.7,385,10,0.26
1889,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-10-3,7.853981634,200.5333333,2,45,53.8,2.98,30.7,458,10,0.3
1918,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-1,15.393804,200.5333333,2,43,53.8,2.98,30.7,269,14,0.19
1919,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-1,15.393804,200.5333333,2,43,53.8,2.98,30.7,301,14,0.21
1947,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-2,15.393804,200.5333333,2,43,53.8,2.98,30.7,294,14,0.17
1948,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-2,15.393804,200.5333333,2,43,53.8,2.98,30.7,271,14,0.17
1949,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-2,15.393804,200.5333333,2,43,53.8,2.98,30.7,296,14,0.18
1950,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-2,15.393804,200.5333333,2,43,53.8,2.98,30.7,327,14,0.21
1982,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-3,15.393804,200.5333333,2,43,53.8,2.98,30.7,325,14,0.19
1983,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-14-3,15.393804,200.5333333,2,43,53.8,2.98,30.7,308,14,0.19
2016,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-1,31.41592654,197.5,2,40,53.8,2.98,30.7,153,20,0.08
2017,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-1,31.41592654,197.5,2,40,53.8,2.98,30.7,144,20,0.08
2018,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-1,31.41592654,197.5,2,40,53.8,2.98,30.7,152,20,0.08
2019,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-1,31.41592654,197.5,2,40,53.8,2.98,30.7,158,20,0.09
2020,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-1,31.41592654,197.5,2,40,53.8,2.98,30.7,190,20,0.11
2021,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-1,31.41592654,197.5,2,40,53.8,2.98,30.7,200,20,0.12
2022,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-1,31.41592654,197.5,2,40,53.8,2.98,30.7,219,20,0.13
2045,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,109,20,0.06
2046,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,111,20,0.06
2047,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,97,20,0.06
2048,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,126,20,0.07
2049,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,158,20,0.1
2050,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,192,20,0.13
2051,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,215,20,0.16
2052,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-2,31.41592654,197.5,2,40,53.8,2.98,30.7,219,20,0.16
2083,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-3,31.41592654,197.5,2,40,53.8,2.98,30.7,178,20,0.12
2084,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-3,31.41592654,197.5,2,40,53.8,2.98,30.7,172,20,0.12
2085,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-3,31.41592654,197.5,2,40,53.8,2.98,30.7,189,20,0.13
2086,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N32-20-3,31.41592654,197.5,2,40,53.8,2.98,30.7,218,20,0.15
2110,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-1,7.853981634,200.5333333,2,45,55.4,3.16,33.7,407,10,0.26
2111,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-1,7.853981634,200.5333333,2,45,55.4,3.16,33.7,453,10,0.29
2131,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-2,7.853981634,200.5333333,2,45,55.4,3.16,33.7,477,10,0.31
2132,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-2,7.853981634,200.5333333,2,45,55.4,3.16,33.7,409,10,0.31
2133,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-2,7.853981634,200.5333333,2,45,55.4,3.16,33.7,450,10,0.33
2134,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-2,7.853981634,200.5333333,2,45,55.4,3.16,33.7,478,10,0.35
2159,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-3,7.853981634,200.5333333,2,45,55.4,3.16,33.7,446,10,0.26
2160,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-3,7.853981634,200.5333333,2,45,55.4,3.16,33.7,377,10,0.26
2161,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-10-3,7.853981634,200.5333333,2,45,55.4,3.16,33.7,448,10,0.29
2190,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-1,15.393804,196.3166667,2,43,55.4,3.16,33.7,267,14,0.16
2191,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-1,15.393804,196.3166667,2,43,55.4,3.16,33.7,286,14,0.18
2192,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-1,15.393804,196.3166667,2,43,55.4,3.16,33.7,325,14,0.21
2217,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-2,15.393804,196.3166667,2,43,55.4,3.16,33.7,257,14,0.15
2218,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-2,15.393804,196.3166667,2,43,55.4,3.16,33.7,245,14,0.15
2219,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-2,15.393804,196.3166667,2,43,55.4,3.16,33.7,258,14,0.16
2220,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-2,15.393804,196.3166667,2,43,55.4,3.16,33.7,294,14,0.2
2248,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-3,15.393804,196.3166667,2,43,55.4,3.16,33.7,294,14,0.19
2249,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-3,15.393804,196.3166667,2,43,55.4,3.16,33.7,279,14,0.19
2250,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-14-3,15.393804,196.3166667,2,43,55.4,3.16,33.7,296,14,0.2
2284,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-1,31.41592654,197.5,2,40,55.4,3.16,33.7,207,20,0.12
2285,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-1,31.41592654,197.5,2,40,55.4,3.16,33.7,215,20,0.12
2286,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-1,31.41592654,197.5,2,40,55.4,3.16,33.7,223,20,0.12
2312,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-2,31.41592654,197.5,2,40,55.4,3.16,33.7,129,20,0.06
2313,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-2,31.41592654,197.5,2,40,55.4,3.16,33.7,128,20,0.06
2314,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-2,31.41592654,197.5,2,40,55.4,3.16,33.7,144,20,0.07
2315,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-2,31.41592654,197.5,2,40,55.4,3.16,33.7,160,20,0.08
2316,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-2,31.41592654,197.5,2,40,55.4,3.16,33.7,191,20,0.11
2317,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-2,31.41592654,197.5,2,40,55.4,3.16,33.7,223,20,0.14
2350,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-3,31.41592654,197.5,2,40,55.4,3.16,33.7,191,20,0.11
2351,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-3,31.41592654,197.5,2,40,55.4,3.16,33.7,184,20,0.11
2352,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-3,31.41592654,197.5,2,40,55.4,3.16,33.7,192,20,0.11
2353,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N42-20-3,31.41592654,197.5,2,40,55.4,3.16,33.7,220,20,0.13
2377,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-10-1,7.853981634,200.5333333,2,45,38.8,2.81,31.1,454,10,0.38
2398,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-10-2,7.853981634,200.5333333,2,45,38.8,2.81,31.1,432,10,0.24
2399,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-10-2,7.853981634,200.5333333,2,45,38.8,2.81,31.1,284,10,0.24
2400,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-10-2,7.853981634,200.5333333,2,45,38.8,2.81,31.1,385,10,0.28
2401,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-10-2,7.853981634,200.5333333,2,45,38.8,2.81,31.1,432,10,0.31
2402,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-10-2,7.853981634,200.5333333,2,45,38.8,2.81,31.1,506,10,0.38
2435,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-1,15.393804,196.3166667,2,43,38.8,2.81,31.1,255,14,0.17
2436,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-1,15.393804,196.3166667,2,43,38.8,2.81,31.1,287,14,0.19
2437,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-1,15.393804,196.3166667,2,43,38.8,2.81,31.1,333,14,0.23
2438,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-1,15.393804,196.3166667,2,43,38.8,2.81,31.1,366,14,0.26
2461,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,191,14,0.09
2462,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,149,14,0.09
2463,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,175,14,0.11
2464,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,191,14,0.11
2465,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,229,14,0.15
2466,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,269,14,0.19
2467,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,310,14,0.23
2468,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,348,14,0.27
2469,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-2,15.393804,196.3166667,2,43,38.8,2.81,31.1,382,14,0.3
2499,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-3,15.393804,196.3166667,2,43,38.8,2.81,31.1,339,14,0.22
2500,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-3,15.393804,196.3166667,2,43,38.8,2.81,31.1,300,14,0.22
2501,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-3,15.393804,196.3166667,2,43,38.8,2.81,31.1,338,14,0.24
2502,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-14-3,15.393804,196.3166667,2,43,38.8,2.81,31.1,357,14,0.26
2532,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-1,31.41592654,197.5,2,40,38.8,2.81,31.1,109,20,0.05
2533,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-1,31.41592654,197.5,2,40,38.8,2.81,31.1,90,20,0.05
2534,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-1,31.41592654,197.5,2,40,38.8,2.81,31.1,111,20,0.06
2535,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-1,31.41592654,197.5,2,40,38.8,2.81,31.1,127,20,0.07
2536,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-1,31.41592654,197.5,2,40,38.8,2.81,31.1,145,20,0.08
2537,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-1,31.41592654,197.5,2,40,38.8,2.81,31.1,182,20,0.11
2538,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-1,31.41592654,197.5,2,40,38.8,2.81,31.1,220,20,0.14
2561,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,105,20,0.05
2562,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,82,20,0.05
2563,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,103,20,0.06
2564,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,110,20,0.06
2565,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,129,20,0.08
2566,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,148,20,0.09
2567,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,185,20,0.12
2568,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-2,31.41592654,197.5,2,40,38.8,2.81,31.1,223,20,0.15
2596,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-3,31.41592654,197.5,2,40,38.8,2.81,31.1,125,20,0.06
2597,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,S20-20-3,31.41592654,197.5,2,40,38.8,2.81,31.1,118,20,0.06
